TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_RESIDENCE_CODE,TRAVEL_STATUS_DESTINATION_CODE
e002476,11,남,40,6,2,2,3,7,11.0,3,6,50,50110,50,50130,42,42210,6,서울특별시,경기,2인 여행(가족 외),1,8.0,3.0,1,11,41
e011637,41,남,30,6,2,3,3,5,5.0,2,1,42,42150,42,42210,41,41480,1,경기도,경기,자녀 동반 여행,3,2.0,1.0,2,41,41
e007228,11,여,30,7,2,2,2,6,10.0,2,1,41,41610,42,42150,28,28245,7,서울특별시,경기,2인 가족 여행,7,3.0,2.0,1,11,41
e010415,11,남,40,6,2,5,11,4,10.0,2,4,42,42210,44,44760,11,11110,7,서울특별시,경기,3인 이상 여행(가족 외),7,8.0,5.0,3,11,41
e004107,28,남,40,6,2,4,3,6,8.0,2,1,42,42830,41,41800,50,50130,4,인천광역시,경기,나홀로 여행,6,4.0,1.0,0,28,41
e003194,41,여,40,6,1,2,2,4,8.0,3,4,50,50130,11,11110,41,41360,2,경기도,경기,3인 이상 여행(가족 외),3,1.0,7.0,3,41,41
e000794,46,여,20,6,2,2,2,3,6.0,2,2,11,11680,41,41830,11,11710,2,전라남도,서울,나홀로 여행,1,2.0,8.0,0,46,11
e001440,41,남,20,6,1,5,12,1,5.0,3,2,50,50110,42,42150,26,26350,6,경기도,경기,2인 여행(가족 외),1,3.0,7.0,1,41,41
e002481,11,남,30,5,2,2,3,7,12.0,3,6,50,50130,50,50110,30,30170,6,서울특별시,경기,2인 가족 여행,10,3.0,2.0,1,11,41
e002014,11,여,30,6,1,4,3,4,6.0,3,3,26,26350,50,50130,41,41450,3,서울특별시,경기,2인 여행(가족 외),3,2.0,1.0,1,11,41
e012049,41,남,30,6,1,5,12,1,9.0,3,3,26,26350,41,41110,11,11440,5,경기도,경기,3인 이상 여행(가족 외),8,7.0,1.0,2,41,41
e002024,11,남,40,6,1,1,3,4,7.0,2,2,42,42210,50,50130,45,45130,6,서울특별시,경기,나홀로 여행,1,2.0,8.0,0,11,41
e006090,41,여,30,6,2,3,11,1,9.0,3,5,41,41460,41,41630,41,41110,6,경기도,경기,자녀 동반 여행,4,0.0,0.0,1,41,41
e005810,11,여,20,6,1,1,2,2,7.0,2,2,11,11560,44,44150,47,47130,7,서울특별시,경기,2인 여행(가족 외),2,5.0,1.0,1,11,41
e004984,28,여,30,5,1,2,3,4,4.0,2,1,50,50130,42,42210,11,11140,6,인천광역시,서울,2인 여행(가족 외),1,2.0,3.0,1,28,11
e004634,41,남,30,6,1,1,2,6,7.0,3,4,11,11170,41,41110,11,11680,6,경기도,서울,2인 여행(가족 외),3,7.0,1.0,1,41,11
e007804,41,여,30,6,2,3,2,6,10.0,2,3,41,41820,41,41590,41,41110,6,경기도,경기,자녀 동반 여행,3,1.0,2.0,2,41,41
e002187,44,여,20,4,1,1,3,4,7.0,2,1,11,11410,26,26350,50,50130,7,충청남도,경기,나홀로 여행,7,5.0,2.0,0,44,41
e003463,41,남,30,7,1,1,2,5,7.0,2,1,42,42210,42,42150,42,42110,6,서울특별시,경기,2인 여행(가족 외),1,2.0,3.0,1,11,41
e002313,11,여,30,6,2,2,3,4,9.0,3,4,50,50130,26,26350,42,42210,3,서울특별시,경기,나홀로 여행,1,2.0,7.0,0,11,41
e001892,11,남,30,5,2,3,9,4,6.0,3,5,42,42150,41,41280,46,46150,1,서울특별시,경기,자녀 동반 여행,1,3.0,2.0,2,11,41
e000760,42,남,30,7,2,4,3,6,6.0,2,1,42,42110,42,42150,41,41670,6,강원도,경기,자녀 동반 여행,1,2.0,3.0,3,42,41
e007196,27,여,30,5,1,4,7,1,4.0,3,1,26,26530,11,11140,11,11110,4,대구광역시,서울,나홀로 여행,6,1.0,7.0,0,27,11
e000540,41,여,40,5,2,3,5,1,4.0,2,1,50,50130,42,42230,29,29140,7,경기도,인천,3인 이상 여행(가족 외),7,2.0,0.0,2,41,28
e004644,41,여,20,5,1,3,2,4,10.0,2,1,50,50110,26,26200,47,47170,7,경기도,경기,2인 여행(가족 외),7,5.0,3.0,1,41,41
e004087,41,여,60,4,2,3,1,2,6.0,3,2,50,50130,42,42150,26,26500,5,경기도,서울,2인 가족 여행,7,3.0,2.0,1,41,11
e003470,30,여,20,5,1,1,2,5,7.0,3,3,45,45110,11,11680,27,27140,2,대전광역시,서울,2인 여행(가족 외),3,6.0,7.0,1,30,11
e000594,11,여,30,7,1,1,2,4,7.0,2,2,41,41110,41,41460,26,26350,3,서울특별시,경기,2인 여행(가족 외),1,3.0,2.0,1,11,41
e003227,41,남,30,6,2,3,3,4,6.0,3,2,41,41820,28,28710,50,50130,7,경기도,경기,자녀 동반 여행,1,3.0,5.0,5,41,41
e006899,41,남,20,6,1,3,3,4,8.0,3,10,42,42150,50,50110,26,26350,5,경기도,경기,2인 여행(가족 외),1,7.0,3.0,1,41,41
e000872,41,여,50,5,4,2,4,4,4.0,2,1,42,42210,42,42170,28,28710,7,경기도,경기,3인 이상 여행(가족 외),2,3.0,6.0,4,41,41
e003638,41,여,20,6,1,4,2,5,9.0,3,6,42,42230,41,41630,42,42110,7,경기도,경기,2인 여행(가족 외),1,6.0,3.0,1,41,41
e006875,41,여,30,7,2,2,2,3,5.0,2,2,41,41190,42,42150,11,11680,7,경기도,경기,2인 가족 여행,4,7.0,3.0,1,41,41
e000738,11,남,30,4,1,1,9,3,7.0,3,3,26,26230,50,50110,41,41610,6,서울특별시,인천,2인 여행(가족 외),2,1.0,3.0,1,11,28
e004423,11,남,60,4,2,4,2,6,7.0,3,3,42,42770,41,41830,42,42230,5,서울특별시,경기,2인 가족 여행,2,1.0,3.0,1,11,41
e002220,30,여,30,8,2,3,2,4,9.0,2,2,50,50130,42,42170,26,26350,5,대전광역시,경기,자녀 동반 여행,1,7.0,3.0,2,30,41
e009592,11,여,20,6,1,6,3,5,12.0,2,3,41,41360,42,42110,41,41820,5,서울특별시,경기,2인 여행(가족 외),2,7.0,3.0,1,11,41
e006136,29,여,20,6,1,2,12,2,3.0,3,10,11,11680,26,26350,50,50110,1,광주광역시,서울,나홀로 여행,7,2.0,1.0,0,29,11
e008711,41,여,20,6,1,1,2,4,7.0,3,1,50,50130,26,26350,42,42760,6,경기도,경기,나홀로 여행,2,6.0,1.0,0,41,41
e007574,11,남,60,6,2,4,2,4,4.0,1,4,42,42210,41,41480,50,50130,4,서울특별시,경기,2인 가족 여행,1,6.0,2.0,1,11,41
e006808,41,여,60,5,4,3,3,6,6.0,2,2,42,42820,42,42780,41,41650,5,경기도,경기,2인 가족 여행,2,3.0,5.0,1,41,41
e003971,11,남,60,7,2,2,2,8,9.0,2,1,11,11140,26,26200,42,42170,3,서울특별시,경기,자녀 동반 여행,3,8.0,7.0,1,11,41
e006800,11,여,30,6,1,1,3,5,7.0,2,1,50,50110,42,42150,42,42780,6,서울특별시,경기,2인 여행(가족 외),3,5.0,2.0,1,11,41
e006934,41,남,30,6,2,2,2,6,8.0,2,2,50,50110,42,42230,45,45130,4,경기도,서울,2인 가족 여행,6,1.0,4.0,1,41,11
e003258,11,남,30,7,1,1,2,4,7.0,3,5,42,42210,41,41290,41,41360,2,서울특별시,경기,나홀로 여행,2,0.0,0.0,0,11,41
e003593,41,여,20,6,2,2,3,4,7.0,3,4,50,50110,42,42150,26,26350,7,경기도,서울,2인 가족 여행,1,3.0,2.0,1,41,11
e010713,41,여,20,6,1,5,13,3,8.0,3,4,42,42210,42,42150,50,50110,5,경기도,서울,2인 여행(가족 외),3,1.0,0.0,1,41,11
e005504,43,여,20,6,1,1,3,5,7.0,2,1,26,26350,46,46130,50,50130,4,충청북도,경기,나홀로 여행,2,1.0,7.0,0,43,41
e002189,41,여,60,7,2,4,2,7,11.0,3,4,50,50110,42,42210,28,28710,4,경기도,서울,2인 여행(가족 외),3,0.0,0.0,1,41,11
e003540,41,여,40,4,2,3,11,1,5.0,2,1,41,41480,42,42210,44,44825,6,경기도,서울,2인 여행(가족 외),2,8.0,3.0,1,41,11
e006133,11,남,20,6,1,1,2,5,7.0,3,2,11,11710,42,42110,31,31170,3,서울특별시,경기,2인 여행(가족 외),3,1.0,2.0,1,11,41
