TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION_CHECK,TRAVEL_PURPOSE_22,TRAVEL_PURPOSE_1,TRAVEL_PURPOSE_6,TRAVEL_PURPOSE_4,TRAVEL_PURPOSE_2,TRAVEL_PURPOSE_26,TRAVEL_PURPOSE_21,TRAVEL_PURPOSE_24,TRAVEL_PURPOSE_3,TRAVEL_PURPOSE_5,TRAVEL_PURPOSE_OTHER,TRAVEL_PURPOSE_COUNT,TRAVEL_MISSION_CHECK_22,TRAVEL_MISSION_CHECK_1,TRAVEL_MISSION_CHECK_6,TRAVEL_MISSION_CHECK_2,TRAVEL_MISSION_CHECK_21,TRAVEL_MISSION_CHECK_4,TRAVEL_MISSION_CHECK_24,TRAVEL_MISSION_CHECK_3,TRAVEL_MISSION_CHECK_26,TRAVEL_MISSION_CHECK_5,TRAVEL_MISSION_CHECK_OTHER,TRAVEL_MISSION_CHECK_COUNT,activity_payment_sum,activity_payment_count,activity_store_count,activity_history_rows,activity_type_unique,lodging_payment_sum,lodging_payment_count,lodging_store_count,visit_dgstfn_avg,visit_revisit_avg,visit_rcmdtn_avg,visit_trip_days,visit_move_cnt,visit_rate,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e_e000023,E01,e000023,4,2023-04-29,2023-04-30,,서울 방문/수도권 거주/40세 이상/커플/일반미션,4;3;11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,3,49300,4,4,9,5,0,0,0,4.2,3.8,3.8,2,5,0.2,28,남,60,8,2,3,2,4,10.0,3,20,46,46710,26,26350,50,50130,4,1,2,1,1,4,5,1,인천광역시,서울,3대 동반 여행(친척 포함),2023-04-30~2023-04-30,3,8.0,7.0,2
e_e000025,E03,e000025,22,2023-04-30,2023-05-01,,경기 방문/거주지 구분 없음/40세 이상/특별미션,22;4;26,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,3,65600,3,3,5,3,0,0,0,4.0,3.0,3.6666666666666665,2,3,0.0,11,여,40,6,2,3,2,4,9.0,2,1,41,41480,44,44800,42,42150,2,6,6,2,2,6,6,1,서울특별시,경기,자녀 동반 여행,2023-04-30~2023-04-30,3,1.0,2.0,2
e_e000030,E03,e000030,21,2023-04-29,2023-04-30,,경기 방문/거주지 구분 없음/40세 이상/특별미션,21;7;28,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,1,0,0,0,5.0,5.0,5.0,2,2,0.5,11,남,50,5,2,3,3,11,11.0,2,2,41,41830,41,41480,42,42780,2,7,1,5,2,6,5,3,서울특별시,경기,나홀로 여행,2023-04-29~2023-04-29,5,1.0,2.0,0
e_e000037,E03,e000037,22,2023-04-30,2023-05-01,,경기 방문/거주지 구분 없음/39세 이하/특별미션,22;6;21,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,3,52000,2,2,5,4,0,0,0,5.0,5.0,5.0,2,2,0.0,11,여,30,6,2,1,5,4,7.0,2,1,41,41460,41,41820,41,41830,4,3,1,1,4,4,4,4,서울특별시,경기,나홀로 여행,2023-04-28~2023-04-30,4,2.0,7.0,0
e_e000038,E03,e000038,21;22;23,2023-04-28,2023-04-30,,경기 방문/거주지 구분 없음/39세 이하/특별미션,21;23;10,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,3,184600,7,7,11,4,66000,1,1,4.857142857142857,4.714285714285714,4.714285714285714,3,7,0.1428571428571428,11,남,30,6,2,2,13,6,8.0,3,3,50,50110,42,42830,28,28110,3,2,3,2,2,4,5,3,서울특별시,경기,2인 가족 여행,2023-04-28~2023-04-29,2,4.0,7.0,1
e_e000039,E03,e000039,2,2023-04-29,2023-04-30,,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,2;22;24,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,3,116500,3,3,10,3,0,0,0,4.571428571428571,4.428571428571429,4.571428571428571,2,7,0.0,11,남,40,7,2,2,2,2,5.0,2,1,41,41480,42,42210,28,28710,1,6,2,3,3,3,3,2,서울특별시,경기,2인 가족 여행,2023-04-29~2023-04-29,3,1.0,7.0,1
e_e000040,E01,e000040,3;4,2023-04-28,2023-04-30,,서울 방문/수도권 거주/39세 이하/커플/일반미션,4;3;7,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,1,3,64400,3,3,5,2,0,0,0,4.2,3.2,3.4,3,5,0.8,41,남,30,6,1,1,3,5,7.0,3,6,50,50110,50,50130,11,11440,2,2,4,5,6,4,2,3,경기도,서울,2인 여행(가족 외),2023-04-28~2023-04-29,3,2.0,8.0,1
e_e000041,E03,e000041,4;7,2023-04-28,2023-05-01,,서울 외 수도권 방문/수도권 거주/40세 이상/부모 동반/일반미션,3;4;24,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,3,163500,10,10,14,5,0,0,0,4.818181818181818,4.818181818181818,4.818181818181818,4,11,0.6363636363636364,11,남,60,7,2,2,2,11,12.0,4,1,42,42150,46,46130,50,50130,4,2,4,2,2,4,5,3,서울특별시,경기,부모 동반 여행,2023-04-28~2023-04-30,2,0.0,0.0,1
e_e000042,E02,e000042,12;24;5,2023-05-01,2023-05-02,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,5;12;24,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,1,0,0,1,1,3,72000,2,2,7,5,0,0,0,4.166666666666667,4.0,4.0,2,6,0.0,11,여,20,6,1,4,3,4,10.0,3,11,50,50110,42,42150,41,41830,1,1,1,3,2,1,6,5,서울특별시,인천,2인 여행(가족 외),2023-05-01~2023-05-01,1,3.0,7.0,1
e_e000045,E03,e000045,25,2023-04-29,2023-05-01,,경기 방문/거주지 구분 없음/39세 이하/특별미션,8;25;21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,3,40070,4,4,13,5,0,0,0,4.0,3.8,3.8,3,5,0.0,41,여,60,5,2,3,3,2,6.0,2,2,42,42210,43,43130,41,41570,3,3,5,4,2,6,2,6,경기도,경기,2인 가족 여행,2023-04-29~2023-04-30,2,1.0,3.0,1
e_e000046,E03,e000046,5,2023-04-28,2023-04-29,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,5;10;21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,3,180300,1,1,7,6,0,0,0,5.0,5.0,5.0,2,1,1.0,41,남,60,6,2,3,1,4,6.0,2,2,41,41820,42,42150,43,43130,1,4,3,4,6,5,1,4,경기도,경기,3인 이상 여행(가족 외),2023-04-28~2023-04-28,6,1.0,3.0,3
e_e000293,E01,e000293,1;22;4;6,2023-05-28,2023-05-29,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,6;1;4,1,1,1,1,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,3,151600,7,7,12,4,0,0,0,4.111111111111111,4.888888888888889,3.6666666666666665,2,9,0.8888888888888888,44,여,30,6,1,1,3,3,7.0,3,2,11,11110,50,50130,50,50110,3,1,2,4,2,4,1,4,충청남도,서울,나홀로 여행,2023-05-28~2023-05-28,1,2.0,7.0,0
e_e000294,E03,e000294,1;2;23;26,2023-05-19,2023-05-22,자가용,서울 외 수도권 방문/수도권 외 거주/39세 이하/커플/일반미션,2;23;22,0,1,0,0,1,1,0,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,1,3,386300,13,8,21,5,133200,4,4,3.4,3.8,3.6,4,5,0.2,45,여,20,6,1,2,7,3,3.0,1,3,26,26230,45,45130,47,47130,2,1,4,4,2,4,5,1,전라북도,경기,2인 여행(가족 외),2023-05-19~2023-05-21,3,2.0,1.0,1
e_e000296,E01,e000296,9;11;21;26;1;22;23,2023-05-23,2023-05-26,대중교통 등,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,9;22;21,1,1,0,0,0,1,1,0,0,0,1,7,1,0,0,0,1,0,0,0,0,0,1,3,106600,7,7,11,4,0,0,0,4.0,3.5454545454545454,3.4545454545454546,4,11,0.0909090909090909,41,여,30,6,1,2,2,5,7.0,3,8,11,11440,48,48120,42,42150,2,2,2,1,2,2,7,6,경기도,서울,나홀로 여행,2023-05-22~2023-05-24,4,7.0,1.0,0
e_e000299,E01,e000299,3;6,2023-05-27,2023-05-29,대중교통 등,서울 방문/수도권 외 거주/40세 이상/나홀로 여행/일반미션,3;6;11,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,1,3,257400,8,7,13,4,0,0,0,4.166666666666667,4.333333333333333,4.0,3,12,0.6666666666666666,50,여,50,5,1,1,3,3,7.0,3,4,50,50110,11,11140,46,46130,4,2,2,5,3,2,2,6,제주특별자치도,서울,나홀로 여행,2023-05-27~2023-05-28,8,7.0,1.0,0
e_e000301,E01,e000301,22;23;26;4,2023-05-19,2023-05-21,대중교통 등,서울 방문/수도권 거주/39세 이하/커플/일반미션,22;23;26,1,0,0,1,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,0,1,3,28100,2,2,7,4,324500,1,1,4.75,4.75,4.75,3,4,0.0,28,남,20,4,1,4,9,4,7.0,3,6,50,50130,50,50110,42,42150,2,2,1,3,5,3,3,6,인천광역시,서울,2인 여행(가족 외),2023-05-19~2023-05-20,5,2.0,3.0,1
e_e000302,E01,e000302,2;21;22;26,2023-05-19,2023-05-22,대중교통 등,서울 방문/수도권 외 거주/39세 이하/나홀로 여행/일반미션,2;22;26,1,0,0,0,1,1,1,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,0,3,501200,13,11,18,5,0,0,0,4.6,3.733333333333333,4.6,4,15,0.2,27,여,20,6,1,1,3,4,7.0,3,5,50,50130,11,11680,26,26110,2,3,3,3,6,5,6,6,대구광역시,서울,나홀로 여행,2023-05-19~2023-05-21,2,0.0,0.0,0
