TRAVEL_ID,TRAVELER_ID,TRAVEL_NM,TRAVEL_PURPOSE,TRAVEL_PERSONA,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_STATUS_YMD,TRAVEL_MISSION_CHECK,TRAVEL_STATUS_ACCOMPANY,MVMN_NM,GENDER,AGE_GRP,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,activity_payment_sum,activity_payment_count,activity_store_count,activity_type_unique,lodging_payment_sum,lodging_payment_count,lodging_store_count,visit_dgstfn_avg,visit_revisit_avg,visit_rcmdtn_avg,visit_trip_days,visit_move_cnt,visit_rate,TRAVEL_DURATION_DAYS,TRAVEL_STATUS_LAG_DAYS,TRAVEL_START_YEAR,TRAVEL_START_MONTH,VISIT_RATE_PERCENT,HAS_TRAVEL_MISSION,MISSION_CODE_COUNT_MANUAL,PRIMARY_TRAVEL_MISSION,IS_FAILED_TRIP,TRIP_DAYS,MOVE_CNT,TRIP_DGSTFN_AVG,TRIP_REVISIT_AVG,TRIP_RCMDTN_AVG,MISSION_CODE_COUNT,MISSION_CD_1,MISSION_CD_2,MISSION_CD_21,MISSION_CD_22,MISSION_CD_6,ACTIVITY_CD_1,ACTIVITY_CD_2,ACTIVITY_CD_3,ACTIVITY_CD_4,ACTIVITY_CD_5
e_e007684,e007684,E03,26,경기 방문/거주지 구분 없음/39세 이하/특별미션,2023-08-19,2023-08-20,,26;5;24,2인 여행(가족 외),자가용,남,30,5,7.0,2,1,1,133400,4,4,3,0,0,0,3.5,3.25,3.75,2,4,0.0,1,,2023,8,0.0,1,3,26,0,1,4,3.5,3.25,3.75,3,0,0,0,0,0,3,0,0,0,1
e_e007689,e007689,E02,1;22;26;4;6,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,2023-08-20,2023-08-21,,1;4;24,나홀로 여행,대중교통 등,여,20,1,7.0,3,2,0,38040,4,4,6,0,0,0,3.625,3.5,3.375,2,8,0.125,1,,2023,8,12.5,1,3,1,1,1,8,3.62,3.5,3.38,3,1,0,0,0,0,3,3,0,1,2
e_e007690,e007690,E03,2;22;26;6,경기 방문/거주지 구분 없음/39세 이하/특별미션,2023-08-26,2023-08-27,,2;22;26,3인 이상 여행(가족 외),대중교통 등,남,30,4,12.0,2,2,3,70000,1,1,3,0,0,0,4.666666666666667,4.333333333333333,4.666666666666667,2,6,0.1666666666666666,1,,2023,8,16.67,1,3,2,0,1,6,4.67,4.33,4.67,3,0,1,0,1,0,1,0,2,0,0
e_e007693,e007693,E01,22;26;6,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-08-23,2023-08-24,,6;22;1,자녀 동반 여행,대중교통 등,남,60,6,6.0,3,2,1,40900,3,3,3,0,0,0,5.0,5.0,5.0,2,3,0.0,1,,2023,8,0.0,1,3,6,0,1,3,5.0,5.0,5.0,3,1,0,0,1,1,2,1,1,0,0
e_e007704,e007704,E03,1;12;22;3;4,경기 방문/거주지 구분 없음/39세 이하/특별미션,2023-08-25,2023-08-26,,1;3;22,나홀로 여행,대중교통 등,여,20,2,6.0,3,3,0,53100,5,5,5,0,0,0,4.8,4.6,4.7,2,10,0.5,1,,2023,8,50.0,1,3,1,0,1,10,4.8,4.6,4.7,3,1,0,0,1,0,3,2,0,2,1
e_e007705,e007705,E02,1;21;22;4;6,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-26,2023-08-27,,6;4;21,2인 여행(가족 외),대중교통 등,여,30,5,7.0,4,1,1,65100,5,5,5,0,0,0,4.0,3.8,3.8,2,5,0.0,1,,2023,8,0.0,1,3,6,0,1,5,4.0,3.8,3.8,3,0,0,1,0,1,4,2,4,1,1
e_e007708,e007708,E03,1;22;26,경기 방문/거주지 구분 없음/39세 이하/특별미션,2023-08-21,2023-08-22,,11;26;22,나홀로 여행,자가용,여,30,2,5.0,2,2,0,17100,3,3,6,0,0,0,5.0,5.0,5.0,2,5,1.0,1,,2023,8,100.0,1,3,11,0,1,5,5.0,5.0,5.0,3,0,0,0,1,0,1,1,2,1,2
e_e007743,e007743,E03,22;5,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,2023-08-20,2023-08-21,,5;22;2,3인 이상 여행(가족 외),자가용,여,20,7,7.0,2,1,3,401400,5,5,2,0,0,0,4.333333333333333,4.0,4.333333333333333,2,3,0.0,1,,2023,8,0.0,1,3,5,0,1,3,4.33,4.0,4.33,3,0,1,0,1,0,3,0,1,0,0
e_e007745,e007745,E03,2;22,경기 방문/거주지 구분 없음/39세 이하/특별미션,2023-08-27,2023-08-28,,2;22;24,2인 가족 여행,자가용,여,20,4,7.0,2,1,1,24700,2,2,3,0,0,0,5.0,5.0,5.0,2,3,0.0,1,,2023,8,0.0,1,3,2,0,1,3,5.0,5.0,5.0,3,0,1,0,1,0,2,0,1,1,0
e_e007746,e007746,E01,1;2;22;24,서울 방문/수도권 외 거주/39세 이하/커플/일반미션,2023-08-19,2023-08-20,,6;22;1,2인 여행(가족 외),자가용,여,20,5,8.0,2,1,1,171000,8,6,4,0,0,0,4.0,4.0,4.0,2,5,0.0,1,,2023,8,0.0,1,3,6,0,1,5,4.0,4.0,4.0,3,1,0,0,1,1,2,3,2,1,0
e_e007748,e007748,E01,2;3,서울 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-19,2023-08-20,,3;4;12,2인 여행(가족 외),,남,30,4,6.0,3,4,1,50300,2,2,5,0,0,0,4.0,3.0,3.75,2,4,0.0,1,,2023,8,0.0,1,3,3,1,1,4,4.0,3.0,3.75,3,0,0,0,0,0,2,0,1,1,2
e_e007749,e007749,E03,21;22;24;26;6,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-26,2023-08-27,,6;22;24,2인 여행(가족 외),,여,30,5,7.0,2,3,1,45000,2,2,3,0,0,0,3.75,3.5,3.25,2,4,0.25,1,,2023,8,25.0,1,3,6,1,1,4,3.75,3.5,3.25,3,0,0,0,1,1,2,0,0,1,0
e_e007752,e007752,E01,2;26;3,서울 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,2023-08-19,2023-08-20,,2;1;22,3인 이상 여행(가족 외),,여,40,6,7.0,2,2,2,212180,8,8,5,0,0,0,3.875,3.625,3.875,2,8,0.375,1,,2023,8,37.5,1,3,2,1,1,8,3.88,3.62,3.88,3,1,1,0,1,0,4,1,2,0,3
e_e007753,e007753,E03,2;5;6;8;9;27;4,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-08-26,2023-08-27,,2;1;6,나홀로 여행,,여,40,4,7.0,2,4,0,34200,1,1,4,0,0,0,5.0,5.0,5.0,2,3,0.3333333333333333,1,,2023,8,33.33,1,3,2,0,1,3,5.0,5.0,5.0,3,1,1,0,0,1,1,1,1,1,0
e_e007756,e007756,E03,21;5;6,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,2023-08-27,2023-08-28,,5;21;27,2인 가족 여행,,남,60,5,6.0,2,1,1,69000,2,2,2,0,0,0,4.0,4.25,4.0,2,4,0.75,1,,2023,8,75.0,1,3,5,0,1,4,4.0,4.25,4.0,3,0,0,1,0,0,2,0,0,2,0
e_e007757,e007757,E01,1;12;22;3;6,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,2023-08-22,2023-08-23,,6;3;12,나홀로 여행,,여,20,4,12.0,3,4,0,15000,1,1,4,0,0,0,5.0,5.0,5.0,2,3,0.0,1,,2023,8,0.0,1,3,6,0,1,3,5.0,5.0,5.0,3,0,0,0,0,1,1,0,1,2,1
e_e007758,e007758,E03,4;6,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-08-20,2023-08-21,,11;6;22,자녀 동반 여행,,여,40,1,5.0,3,2,3,60000,3,2,2,0,0,0,5.0,4.5,4.5,2,2,0.0,1,,2023,8,0.0,1,3,11,0,1,2,5.0,4.5,4.5,3,0,0,0,1,1,1,0,1,0,0
e_e007759,e007759,E02,2;21;4,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-08-19,2023-08-20,,2;21;22,자녀 동반 여행,,남,40,7,7.0,3,6,1,48400,3,3,2,0,0,0,4.0,4.0,4.0,2,3,1.0,1,,2023,8,100.0,1,3,2,0,1,3,4.0,4.0,4.0,3,0,1,1,1,0,2,0,0,0,0
e_e007760,e007760,E03,1;11,서울 외 수도권 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,2023-08-31,2023-09-01,,1;22;26,나홀로 여행,,여,20,5,7.0,3,3,0,9100,1,1,2,0,0,0,4.333333333333333,4.333333333333333,4.333333333333333,2,3,0.6666666666666666,1,,2023,8,66.67,1,3,1,0,1,3,4.33,4.33,4.33,3,1,0,0,1,0,1,2,0,0,0
e_e007761,e007761,E03,2;26;7;9,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,2023-08-19,2023-08-20,,2;7;9,2인 여행(가족 외),,남,30,5,7.0,2,1,1,5000,1,1,4,0,0,0,4.0,4.0,4.0,2,1,1.0,1,,2023,8,100.0,1,3,2,0,1,1,4.0,4.0,4.0,3,0,1,0,0,0,1,0,1,1,0
e_e007764,e007764,E03,22;5,서울 외 수도권 방문/수도권 외 거주/40세 이상/3대 동반 여행/일반미션,2023-08-26,2023-08-27,,3;1;22,3대 동반 여행(친척 포함),,남,60,7,11.0,3,4,3,184000,5,5,4,0,0,0,4.0,3.6,3.6,2,5,0.0,1,,2023,8,0.0,1,3,3,1,1,5,4.0,3.6,3.6,3,1,0,0,1,0,5,1,1,1,0
e_e007765,e007765,E03,21;6,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,2023-08-20,2023-08-21,,27;2;6,2인 가족 여행,,여,60,3,8.0,2,1,1,139740,4,4,5,0,0,0,3.2,3.0,3.0,2,5,0.4,1,,2023,8,40.0,1,3,27,1,1,5,3.2,3.0,3.0,3,0,1,0,0,1,2,2,0,1,2
e_e007766,e007766,E03,22;24;4,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2023-08-20,2023-08-21,,1;21;22,자녀 동반 여행,,남,40,12,12.0,1,2,3,90800,1,1,2,0,0,0,5.0,5.0,5.0,2,1,1.0,1,,2023,8,100.0,1,3,1,0,1,1,5.0,5.0,5.0,3,1,0,1,1,0,1,0,0,1,0
e_e007767,e007767,E01,12;21;22;26;6,서울 방문/수도권 거주/39세 이하/부부/일반미션,2023-08-19,2023-08-20,,21;12;1,2인 가족 여행,,여,30,4,7.0,3,4,1,43600,2,2,5,0,0,0,3.8,3.4,4.0,2,5,0.4,1,,2023,8,40.0,1,3,21,1,1,5,3.8,3.4,4.0,3,1,0,1,0,0,2,1,1,1,0
e_e007768,e007768,E03,5;3,서울 외 수도권 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션,2023-08-27,2023-08-28,,21;22;5,3인 이상 여행(가족 외),,남,50,3,6.0,3,5,2,421700,4,3,4,0,0,0,4.0,4.0,4.2,2,5,0.4,1,,2023,8,40.0,1,3,21,0,1,5,4.0,4.0,4.2,3,0,0,1,1,0,1,2,1,0,1
e_e007770,e007770,E01,1;6,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,2023-08-28,2023-08-29,,1;3;6,나홀로 여행,,여,20,3,6.0,4,1,0,49200,6,6,3,0,0,0,5.0,4.714285714285714,4.714285714285714,2,7,0.1428571428571428,1,,2023,8,14.29,1,3,1,0,1,7,5.0,4.71,4.71,3,1,0,0,0,1,3,2,2,0,0
e_e007772,e007772,E03,24;3,서울 외 수도권 방문/수도권 거주/40세 이상/3인 이상 친구/일반미션,2023-08-22,2023-08-23,,11;21;2,3인 이상 여행(가족 외),,여,60,5,5.0,3,6,3,118300,2,1,2,0,0,0,4.666666666666667,4.0,4.333333333333333,2,3,0.0,1,,2023,8,0.0,1,3,11,0,1,3,4.67,4.0,4.33,3,0,1,1,0,0,1,0,0,2,0
