TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM
a006536,11,2,60,6,1.0,1,2.0,9,7.0,2,1,2,2,1,2,5,3,1,2,서울특별시,경기,나홀로 여행,1,0
a006818,11,1,40,7,2.0,3,2.0,5,5.0,2,1,1,2,2,1,3,3,4,5,서울특별시,경기,자녀 동반 여행,6,2
a018220,11,2,30,6,1.0,1,2.0,5,7.0,2,1,3,3,2,1,2,3,5,6,서울특별시,경기,나홀로 여행,2,0
a003114,11,2,20,6,1.0,3,3.0,3,5.0,2,1,7,2,2,1,4,5,3,5,서울특별시,경기,2인 여행(가족 외),3,1
a001034,11,2,20,6,1.0,1,3.0,4,7.0,3,4,4,3,2,2,4,3,3,5,서울특별시,경기,2인 여행(가족 외),1,1
a010202,11,1,40,6,2.0,4,3.0,8,8.0,1,1,5,5,5,4,5,5,6,5,서울특별시,경기,자녀 동반 여행,1,3
a009744,41,2,50,6,2.0,3,3.0,5,10.0,3,5,6,2,7,1,1,6,5,3,경기도,서울,2인 여행(가족 외),1,2
a015121,42,2,40,7,1.0,2,3.0,4,4.0,3,2,7,4,1,1,5,6,4,1,강원도,서울,2인 가족 여행,3,1
a001960,50,2,20,6,1.0,3,3.0,4,6.0,3,3,5,3,5,3,4,5,2,5,제주특별자치도,서울,나홀로 여행,2,0
a001922,42,2,20,6,1.0,4,3.0,3,3.0,2,2,4,4,3,3,2,4,2,7,강원도,서울,3인 이상 여행(가족 외),6,2
a002336,41,2,40,7,1.0,1,1.0,2,7.0,3,4,3,5,4,6,4,3,5,3,경기도,서울,나홀로 여행,8,0
a010456,11,1,20,6,1.0,1,3.0,4,7.0,2,1,2,5,1,5,5,4,2,6,서울특별시,경기,나홀로 여행,7,0
a011495,41,2,20,6,1.0,1,2.0,4,7.0,3,4,2,2,1,2,2,4,7,2,경기도,서울,나홀로 여행,5,0
a007656,27,1,30,6,1.0,1,2.0,5,7.0,3,2,4,2,2,3,3,2,5,4,경상북도,서울,나홀로 여행,2,0
a005613,11,2,40,5,2.0,4,4.0,3,7.0,3,4,4,3,2,1,1,2,6,6,서울특별시,경기,자녀 동반 여행,3,3
b006822,41,1,20,6,1.0,3,12.0,3,4.0,2,3,6,4,2,4,5,6,4,3,경기도,강원,2인 여행(가족 외),7,1
a011096,48,1,30,6,1.0,3,7.0,4,5.0,2,1,4,4,4,4,4,4,7,1,경상남도,서울,나홀로 여행,1,0
a002465,11,2,30,6,1.0,1,3.0,4,7.0,3,4,4,2,3,4,6,1,4,2,서울특별시,경기,나홀로 여행,10,0
a006712,41,1,30,5,1.0,1,8.0,4,7.0,2,3,4,4,4,4,4,4,4,4,경기도,경기,2인 여행(가족 외),2,1
a008059,11,1,40,8,2.0,4,4.0,5,7.0,2,1,2,3,2,3,4,3,4,7,서울특별시,경기,3인 이상 여행(가족 외),2,3
a000187,48,2,30,6,1.0,4,정보없음,2,9.0,3,2,5,5,3,3,2,5,6,6,서울특별시,경기,나홀로 여행,1,0
a002063,11,1,30,5,1.0,1,3.0,5,7.0,3,4,1,2,3,4,1,4,7,5,서울특별시,경기,나홀로 여행,1,0
a014102,41,2,50,3,2.0,3,9.0,1,6.0,3,4,6,6,1,3,3,1,7,3,경기도,경기,자녀 동반 여행,6,2
a002198,11,2,30,6,1.0,1,3.0,4,7.0,2,1,4,4,4,3,1,2,4,6,서울특별시,경기,나홀로 여행,2,1
a003383,41,1,20,6,1.0,3,3.0,4,4.0,3,1,4,2,6,6,2,2,6,2,경기도,서울,나홀로 여행,7,0
a002855,11,2,20,6,1.0,1,2.0,4,7.0,2,2,3,1,1,4,5,3,6,5,서울특별시,경기,나홀로 여행,6,0
a001268,42,1,20,6,1.0,5,정보없음,1,7.0,3,1,4,2,2,5,2,2,1,6,강원도,서울,나홀로 여행,6,0
a006411,28,2,20,6,1.0,4,3.0,3,8.0,3,2,3,6,6,6,7,6,2,7,인천광역시,서울,나홀로 여행,6,0
a007924,11,1,30,6,2.0,3,3.0,9,12.0,2,2,2,2,2,3,3,3,4,3,서울특별시,경기,자녀 동반 여행,3,2
a003349,26,2,30,6,1.0,3,2.0,4,4.0,1,2,5,5,5,3,4,3,6,2,부산광역시,서울,나홀로 여행,4,0
a011120,11,1,20,6,1.0,3,12.0,2,8.0,3,20,2,1,1,6,7,4,5,5,서울특별시,경기,3인 이상 여행(가족 외),7,3
a010501,41,2,30,5,2.0,2,3.0,4,9.0,2,2,3,3,2,3,2,5,6,5,경기도,서울,2인 가족 여행,1,1
a005553,11,1,30,6,2.0,3,3.0,4,4.0,2,1,4,6,6,4,2,6,2,5,서울특별시,인천,3인 이상 여행(가족 외),1,2
a003182,41,2,20,6,1.0,1,3.0,4,7.0,3,2,1,2,2,3,5,6,6,6,경기도,서울,나홀로 여행,7,0
a001142,41,2,20,6,1.0,1,3.0,5,7.0,3,3,5,3,4,2,2,3,4,4,경기도,서울,2인 여행(가족 외),8,1
a017969,11,1,30,7,2.0,4,3.0,5,7.0,2,2,2,2,3,3,4,5,2,4,서울특별시,경기,자녀 동반 여행,3,1
a002631,11,2,20,6,1.0,5,13.0,1,1.0,2,2,4,1,1,3,6,4,1,6,서울특별시,경기,3인 이상 여행(가족 외),1,3
a004089,11,2,30,5,1.0,1,3.0,4,7.0,2,1,4,4,4,4,4,4,4,4,서울특별시,경기,2인 여행(가족 외),2,1
a007301,41,2,30,6,2.0,3,11.0,1,6.0,3,5,4,4,1,1,6,6,7,1,경기도,경기,3인 이상 여행(가족 외),3,2
a009676,41,1,50,5,2.0,3,4.0,5,5.0,2,2,1,1,2,4,2,3,6,7,경기도,서울,나홀로 여행,2,0
a018139,36,2,30,7,2.0,2,3.0,4,8.0,1,2,4,4,4,5,4,4,5,3,세종특별자치시,경기,2인 가족 여행,3,1
a007144,41,2,30,8,1.0,1,2.0,5,7.0,3,5,4,1,1,3,4,3,6,1,경기도,인천,나홀로 여행,4,0
a013874,11,2,30,6,2.0,2,4.0,4,9.0,2,1,1,1,1,3,1,3,7,7,서울특별시,경기,3인 이상 여행(가족 외),3,4
a002155,11,2,40,6,2.0,2,3.0,1,9.0,3,6,2,4,1,4,2,2,3,5,서울특별시,경기,나홀로 여행,1,0
a009439,11,1,40,7,2.0,4,2.0,12,12.0,3,6,1,2,1,2,2,6,2,2,서울특별시,경기,2인 가족 여행,1,1
a007610,41,1,20,6,1.0,3,4.0,3,6.0,3,2,2,2,1,3,2,1,6,3,경기도,서울,나홀로 여행,1,0
a005665,28,1,40,5,1.0,1,3.0,4,7.0,3,10,2,4,2,4,2,2,5,5,인천광역시,서울,나홀로 여행,4,0
a001080,29,2,20,6,1.0,4,2.0,5,10.0,3,5,3,1,1,4,7,5,5,7,광주광역시,서울,2인 여행(가족 외),3,1
a011025,41,1,30,6,1.0,3,13.0,4,5.0,3,5,2,1,2,1,6,1,7,4,경기도,경기,2인 여행(가족 외),5,1
a006835,41,1,20,6,1.0,3,12.0,1,9.0,3,1,1,4,5,6,1,4,5,1,경기도,경기,나홀로 여행,2,0
a001206,41,1,30,6,1.0,1,2.0,5,7.0,2,1,1,2,2,2,1,2,6,6,경기도,경기,2인 여행(가족 외),1,1
a005184,41,1,50,6,2.0,4,1.0,8,8.0,2,1,1,1,1,4,4,4,4,6,경기도,인천,자녀 동반 여행,3,2
a005654,28,2,60,6,1.0,4,3.0,6,8.0,2,1,4,2,4,2,4,4,6,6,인천광역시,서울,3인 이상 여행(가족 외),2,3
a011183,11,2,20,6,1.0,4,2.0,1,5.0,2,1,1,1,1,6,1,1,6,6,서울특별시,경기,3인 이상 여행(가족 외),1,3
a002636,31,1,30,6,1.0,3,3.0,5,6.0,3,1,2,7,6,3,2,6,5,2,울산광역시,서울,부모 동반 여행,1,2
a004098,11,1,30,8,1.0,2,12.0,3,12.0,2,4,7,2,1,1,1,6,1,1,서울특별시,경기,2인 여행(가족 외),1,1
a008124,47,2,30,6,2.0,2,3.0,4,5.0,1,1,2,3,4,6,2,3,3,7,경상북도,경기,2인 가족 여행,2,1
a017900,28,2,30,6,1.0,3,2.0,5,7.0,2,2,6,1,2,6,7,6,1,6,인천광역시,경기,2인 여행(가족 외),1,1
a005660,11,1,40,6,2.0,4,3.0,7,7.0,2,2,1,4,6,3,6,6,3,6,서울특별시,경기,자녀 동반 여행,1,3
a005144,11,2,40,6,2.0,4,3.0,6,11.0,2,2,6,6,4,5,5,4,4,3,서울특별시,경기,자녀 동반 여행,5,3
a003778,11,1,20,6,1.0,3,3.0,5,7.0,3,2,3,2,2,5,2,5,5,3,서울특별시,경기,나홀로 여행,7,0
a001716,41,1,20,5,1.0,4,정보없음,1,11.0,3,1,6,4,2,5,5,6,4,5,경기도,서울,나홀로 여행,1,1
a000535,41,1,30,6,2.0,4,2.0,5,7.0,2,1,1,4,4,5,4,5,6,1,경기도,경기,자녀 동반 여행,2,3
a004331,41,1,30,5,1.0,1,1.0,2,7.0,2,2,1,4,4,4,2,1,7,1,서울특별시,경기,나홀로 여행,1,0
a007894,28,2,20,6,1.0,1,4.0,4,7.0,2,1,2,1,1,2,6,6,2,6,인천광역시,경기,나홀로 여행,1,0
a007408,43,2,20,6,1.0,3,3.0,2,5.0,3,6,6,2,2,2,2,5,3,6,충청북도,서울,나홀로 여행,7,0
a007829,41,1,20,6,1.0,4,12.0,2,5.0,2,2,2,1,1,6,6,4,6,6,경기도,서울,2인 여행(가족 외),1,1
a003087,11,2,30,5,1.0,1,3.0,4,7.0,3,2,4,4,3,3,3,4,4,5,서울특별시,경기,나홀로 여행,1,0
a001175,41,2,30,6,2.0,3,3.0,6,11.0,4,1,4,7,1,3,5,5,2,6,경기도,서울,3대 동반 여행(친척 포함),3,3
a000450,11,2,30,6,1.0,1,정보없음,5,7.0,4,2,2,2,2,3,4,2,3,6,서울특별시,경기,2인 여행(가족 외),2,1
a000568,41,1,20,6,1.0,5,2.0,1,5.0,2,2,1,1,1,4,4,4,5,4,강원도,경기,3인 이상 여행(가족 외),7,3
a001709,11,1,30,6,2.0,2,3.0,5,6.0,3,5,4,1,4,3,4,4,2,1,서울특별시,경기,나홀로 여행,8,0
a007568,47,2,30,5,4.0,2,3.0,4,4.0,4,1,6,6,2,7,7,7,1,3,경상북도,서울,자녀 동반 여행,8,1
a005629,11,2,30,7,2.0,2,3.0,8,12.0,2,1,2,2,2,2,2,2,2,7,서울특별시,경기,2인 가족 여행,7,1
a006302,11,2,40,6,2.0,3,3.0,8,12.0,2,1,6,5,3,2,6,2,2,6,서울특별시,경기,자녀 동반 여행,1,2
a007299,11,2,50,6,1.0,4,3.0,4,10.0,3,5,4,2,2,3,2,6,6,6,서울특별시,경기,2인 여행(가족 외),1,1
a006740,41,2,20,6,1.0,1,12.0,2,7.0,2,2,6,6,1,5,6,4,2,7,경기도,경기,나홀로 여행,2,0
a002129,41,2,20,6,1.0,1,3.0,4,7.0,2,2,2,1,1,3,6,5,3,2,경기도,서울,나홀로 여행,1,0
a002567,28,2,40,6,2.0,3,2.0,1,5.0,4,1,4,1,2,2,3,3,1,6,인천광역시,경기,자녀 동반 여행,3,2
a005364,27,1,20,6,1.0,1,2.0,5,7.0,2,2,2,2,3,6,4,4,3,6,대구광역시,서울,나홀로 여행,1,0
a006535,41,1,40,7,2.0,4,1.0,6,10.0,2,2,2,2,2,2,2,2,3,6,경기도,경기,3인 이상 여행(가족 외),1,3
a010235,41,1,30,6,1.0,1,1.0,12,7.0,2,2,7,1,4,1,1,4,7,4,경기도,서울,나홀로 여행,2,0
a005189,41,1,40,7,2.0,3,2.0,8,11.0,3,3,6,6,4,6,7,4,3,6,경기도,경기,자녀 동반 여행,1,2
a001495,11,2,60,5,3.0,1,정보없음,4,7.0,3,4,1,1,2,2,1,6,6,2,서울특별시,경기,나홀로 여행,6,0
a000653,30,1,20,6,1.0,4,정보없음,1,5.0,3,6,5,2,3,2,2,4,4,5,대전광역시,서울,2인 여행(가족 외),2,1
a000712,11,1,40,6,1.0,2,1.0,7,7.0,3,5,1,6,2,2,2,6,3,3,서울특별시,경기,2인 여행(가족 외),3,1
a006232,28,1,20,6,1.0,2,12.0,3,8.0,2,1,2,2,1,6,3,2,6,2,인천광역시,경기,2인 여행(가족 외),7,1
a004797,41,1,30,6,2.0,3,2.0,7,10.0,3,2,4,3,5,1,1,7,4,1,경기도,서울,나홀로 여행,1,0
a002722,11,2,30,5,1.0,1,13.0,3,7.0,3,2,3,1,3,3,4,4,7,6,서울특별시,경기,나홀로 여행,1,0
a001382,11,2,20,6,2.0,2,정보없음,3,6.0,3,4,4,3,4,4,3,4,5,5,서울특별시,경기,2인 가족 여행,3,1
a007381,41,1,60,6,2.0,2,1.0,10,12.0,3,7,2,1,1,2,3,1,1,6,경기도,서울,2인 가족 여행,3,1
a000898,41,2,20,6,1.0,1,2.0,5,7.0,3,6,3,2,2,1,2,6,7,3,경기도,서울,2인 가족 여행,1,1
a015030,41,2,50,4,2.0,4,9.0,2,5.0,3,1,2,4,3,3,2,6,6,6,경기도,경기,3인 이상 여행(가족 외),2,3
a002969,26,2,30,4,1.0,3,3.0,4,5.0,2,1,5,2,5,3,5,5,6,3,부산광역시,서울,나홀로 여행,1,0
d001303,11,2,30,5,2.0,3,3.0,4,8.0,3,5,2,2,3,2,2,4,3,6,서울특별시,제주,3대 동반 여행(친척 포함),2,2
a010137,41,1,20,6,1.0,1,3.0,4,7.0,3,3,2,3,3,4,4,3,3,7,경기도,서울,나홀로 여행,1,0
a007443,28,2,30,4,2.0,2,11.0,1,5.0,3,4,2,2,2,1,4,2,6,7,인천광역시,경기,나홀로 여행,5,1
a006306,11,2,30,5,1.0,4,3.0,4,10.0,2,1,6,5,3,3,3,6,3,5,서울특별시,인천,2인 여행(가족 외),3,1
a001932,11,2,60,4,3.0,3,4.0,4,8.0,3,1,1,1,7,5,5,6,7,4,서울특별시,경기,자녀 동반 여행,3,1
a002993,41,2,20,5,1.0,5,3.0,4,7.0,3,2,5,6,1,1,1,5,1,1,경기도,서울,2인 여행(가족 외),6,1
a004023,27,2,20,6,1.0,2,12.0,1,5.0,2,1,7,1,1,1,1,4,7,7,대구광역시,서울,2인 가족 여행,7,1
a006539,11,1,20,6,1.0,4,4.0,4,9.0,2,2,4,1,2,5,6,2,1,5,서울특별시,경기,나홀로 여행,4,0
a017991,11,1,40,8,2.0,4,10.0,8,8.0,3,4,2,2,5,4,5,5,2,4,서울특별시,경기,자녀 동반 여행,3,3
a007042,11,2,40,5,2.0,5,3.0,4,8.0,3,4,4,3,5,5,5,1,6,7,서울특별시,인천,자녀 동반 여행,1,3
a007418,41,1,30,6,2.0,2,3.0,8,9.0,2,2,2,1,4,3,2,4,6,6,경기도,서울,2인 여행(가족 외),3,1
a007100,11,2,40,5,4.0,2,3.0,3,3.0,3,1,2,3,3,3,3,3,3,4,서울특별시,경기,나홀로 여행,1,0
a003060,41,1,50,7,2.0,4,13.0,3,3.0,3,2,6,6,6,4,6,4,4,3,경기도,인천,자녀 동반 여행,3,3
a003871,11,2,20,6,1.0,4,13.0,1,6.0,3,2,1,4,3,5,2,4,6,4,서울특별시,경기,부모 동반 여행,1,3
a003713,41,2,30,6,2.0,2,3.0,5,6.0,2,3,2,6,1,2,4,4,6,7,경기도,경기,나홀로 여행,1,0
a011759,28,1,20,6,1.0,3,3.0,4,7.0,3,5,7,7,4,3,2,6,5,6,인천광역시,서울,2인 여행(가족 외),3,1
a012208,28,2,30,6,1.0,1,3.0,4,7.0,3,1,4,2,4,3,2,5,6,1,인천광역시,서울,나홀로 여행,4,0
a005198,28,2,20,6,1.0,4,12.0,2,6.0,3,4,2,3,2,5,6,2,3,3,인천광역시,경기,나홀로 여행,1,0
a006041,41,1,40,7,2.0,3,2.0,9,9.0,2,2,2,1,3,2,1,4,7,6,경기도,서울,자녀 동반 여행,3,2
a001426,11,2,20,6,1.0,4,3.0,5,12.0,3,3,1,2,4,4,4,4,2,7,서울특별시,경기,2인 여행(가족 외),1,1
a012194,26,2,20,6,1.0,1,2.0,3,7.0,3,2,7,4,1,1,5,4,3,1,부산광역시,서울,나홀로 여행,2,0
a007582,30,2,20,7,1.0,1,2.0,5,7.0,2,1,5,3,1,3,3,1,3,7,대전광역시,서울,나홀로 여행,4,0
a007216,11,2,60,6,2.0,3,4.0,6,11.0,2,1,1,1,1,1,1,2,2,2,서울특별시,경기,자녀 동반 여행,2,2
a018136,41,2,20,6,1.0,1,12.0,3,7.0,2,2,7,6,5,5,7,2,6,3,경기도,서울,2인 여행(가족 외),1,1
a000142,11,2,30,6,2.0,3,2.0,8,12.0,2,1,4,3,4,3,4,5,4,7,서울특별시,경기,자녀 동반 여행,7,2
a000545,41,2,20,6,2.0,1,3.0,4,7.0,3,3,3,5,3,4,4,5,5,5,경기도,경기,2인 가족 여행,2,1
a008721,41,2,40,6,2.0,2,3.0,4,7.0,3,8,1,6,2,1,3,6,2,2,경기도,경기,나홀로 여행,7,0
a006582,41,2,20,6,1.0,1,2.0,4,7.0,3,5,2,3,3,3,3,4,2,5,경기도,경기,2인 여행(가족 외),1,1
a000565,41,2,20,6,1.0,4,정보없음,1,6.0,2,3,7,2,2,3,7,2,2,6,경기도,서울,2인 여행(가족 외),3,1
a006074,41,1,30,6,1.0,2,2.0,7,10.0,2,1,4,1,4,4,4,4,1,7,경기도,서울,2인 여행(가족 외),2,1
a002840,41,1,30,6,1.0,2,2.0,4,6.0,3,5,4,3,3,2,3,5,7,4,경기도,서울,2인 여행(가족 외),9,1
