TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,PAYMENT_NUM,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,LODGING_TYPE_NM,RSVT_YN_ENC,LODGING_TYPE_CD_ENC,PAYMENT_MTHD_SE_ENC
a_a000290,솔잎향캠핑파크,1,5,Y,4,솔잎향캠핑파크,경기 시흥시 수인로2107번길 52,경기 시흥시 조남동 583-2,2022-08-24 00:00:00,1.0,160000,유스호스텔,1,4,0
a_a000805,고구마모텔,1,2,Y,1,호텔고구마,서울 마포구 백범로4길 16,서울 마포구 노고산동 106-77,2022-09-04 20:07:00,1.0,100000,펜션,1,1,0
a_a012504,공군호텔,1,1,Y,1,공군항공안전단,서울 영등포구 여의대방로 259,서울 영등포구 신길동 1196,2022-11-03 16:39:00,1.0,36000,호텔,1,0,0
a_a001356,호텔스카이파크 센트럴명동점,1,1,Y,1,T-STAY센트럴명동점,정보없음,정보없음,2022-08-06 00:00:00,1.0,102460,호텔,1,0,0
a_a003139,스테이카키,1,7,Y,4,스테이카키,서울 용산구 이태원로36길 19-8,서울 용산구 한남동 686-11,2022-07-11 05:23:00,1.0,340000,전통숙소,1,6,0
a_a002664,더마을펜션,1,3,Y,6,주식회사더마을펜션,경기 가평군 청평면 모꼬지로 124-25,정보없음,2022-08-15 14:56:00,1.0,388000,콘도미니엄,1,2,0
a_a002445,XYM 월곶점,0,2,Y,2,정보없음,경기 시흥시 월곶중앙로58번길 26,경기 시흥시 월곶동 1003-11,2022-09-23 00:00:00,5.0,35000,펜션,1,1,4
a_a004418,예하도예 게스트하우스,1,7,Y,1,나이스정보통신㈜,정보없음,정보없음,2022-10-05 00:00:00,1.0,41500,전통숙소,1,6,0
a_a004071,호텔 동양장,0,1,Y,2,정보없음,서울 종로구 종로58길 12,서울 종로구 숭인동 249,2022-09-29 00:00:00,1.0,72360,호텔,1,0,0
a_a009429,호텔루시,0,1,Y,2,정보없음,경기 하남시 하남대로776번길 14-30,경기 하남시 신장동 519-9,2022-10-21 00:00:00,1.0,25000,호텔,1,0,0
