TRAVEL_ID,TRAVELER_ID,TRAVEL_LENGTH
a_a005962,a005962,2
a_a012127,a012127,2
d_d004639,d004639,4
a_a001082,a001082,2
a_a002713,a002713,3
a_a000172,a000172,5
a_a017687,a017687,2
a_a010237,a010237,3
a_a000824,a000824,3
a_a006232,a006232,2
a_a018002,a018002,2
a_a013608,a013608,3
a_a001421,a001421,3
a_a007167,a007167,2
a_a014835,a014835,6
a_a012155,a012155,2
a_a017831,a017831,2
a_a007408,a007408,2
a_a001079,a001079,3
a_a000891,a000891,2
a_a006457,a006457,2
a_a007309,a007309,2
a_a006557,a006557,2
a_a001982,a001982,3
a_a002756,a002756,3
a_a017998,a017998,2
a_a010010,a010010,2
a_a001311,a001311,3
a_a007609,a007609,2
a_a017943,a017943,2
a_a018126,a018126,2
a_a014164,a014164,2
a_a001608,a001608,2
a_a002509,a002509,3
a_a006835,a006835,2
a_a009424,a009424,2
a_a000520,a000520,3
a_a006709,a006709,2
a_a003430,a003430,3
a_a006679,a006679,2
a_a012198,a012198,3
a_a018068,a018068,2
a_a003658,a003658,4
a_a002344,a002344,4
a_a014920,a014920,2
a_a002373,a002373,3
a_a002895,a002895,4
a_a004310,a004310,2
a_a002196,a002196,2
a_a006018,a006018,2
a_a014657,a014657,3
a_a002121,a002121,3
a_a002417,a002417,4
a_a003390,a003390,3
a_a004211,a004211,5
a_a001508,a001508,3
a_a002567,a002567,3
a_a010138,a010138,2
a_a003006,a003006,3
a_a003778,a003778,2
a_a001957,a001957,4
a_a017684,a017684,2
a_a014724,a014724,4
a_a001753,a001753,3
a_a006822,a006822,2
a_a006748,a006748,2
a_a000174,a000174,2
a_a017997,a017997,2
a_a007272,a007272,2
a_a006685,a006685,2
a_a007102,a007102,2
a_a017850,a017850,2
a_a000565,a000565,2
a_a002760,a002760,3
a_a003825,a003825,3
a_a003073,a003073,2
a_a006290,a006290,2
a_a003784,a003784,2
a_a002211,a002211,3
a_a017945,a017945,2
a_a003576,a003576,2
a_a013696,a013696,3
a_a004862,a004862,3
a_a006778,a006778,2
a_a005424,a005424,3
a_a000509,a000509,3
a_a002727,a002727,3
a_a005287,a005287,2
a_a000215,a000215,2
a_a001895,a001895,2
a_a018189,a018189,2
a_a001802,a001802,3
a_a012494,a012494,4
a_a004982,a004982,3
a_a003297,a003297,2
a_a018070,a018070,2
a_a010192,a010192,2
a_a007599,a007599,2
a_a003181,a003181,3
a_a000795,a000795,3
a_a008211,a008211,4
a_a001090,a001090,5
a_a006938,a006938,2
a_a012337,a012337,2
a_a000058,a000058,4
a_a002835,a002835,3
a_a005698,a005698,3
a_a002493,a002493,3
a_a004937,a004937,2
a_a001380,a001380,3
a_a009924,a009924,4
a_a006820,a006820,2
a_a000373,a000373,4
a_a007013,a007013,2
a_a000593,a000593,3
a_a005606,a005606,2
a_a007595,a007595,2
a_a006444,a006444,2
a_a003257,a003257,2
a_a007316,a007316,2
a_a010431,a010431,3
a_a006375,a006375,2
a_a000266,a000266,3
a_a001709,a001709,3
a_a007919,a007919,2
a_a005568,a005568,3
a_a002880,a002880,2
a_a005232,a005232,2
a_a007157,a007157,2
a_a000012,a000012,4
a_a017704,a017704,2
a_a003626,a003626,3
a_a009956,a009956,3
a_a003077,a003077,2
a_a002824,a002824,2
a_a014008,a014008,2
a_a001368,a001368,3
a_a001881,a001881,3
a_a007332,a007332,2
a_a012183,a012183,2
a_a005001,a005001,2
a_a003132,a003132,3
a_a012133,a012133,3
a_a005409,a005409,2
a_a004507,a004507,2
a_a002853,a002853,3
a_a000074,a000074,4
a_a005709,a005709,2
a_a006772,a006772,2
a_a000111,a000111,4
a_a008108,a008108,3
a_a007969,a007969,2
a_a007890,a007890,2
a_a002491,a002491,2
a_a004603,a004603,2
a_a006028,a006028,2
a_a003093,a003093,3
a_a013734,a013734,2
a_a015272,a015272,3
a_a004106,a004106,2
a_a005303,a005303,2
a_a006660,a006660,2
a_a014858,a014858,3
a_a002115,a002115,2
a_a012192,a012192,2
a_a002414,a002414,3
a_a006066,a006066,2
a_a007702,a007702,2
a_a001837,a001837,3
a_a006718,a006718,2
a_a000744,a000744,2
a_a004076,a004076,4
a_a006542,a006542,2
a_a002908,a002908,3
a_a001168,a001168,3
a_a002526,a002526,2
a_a002153,a002153,2
a_a007349,a007349,2
a_a007641,a007641,2
a_a010570,a010570,3
a_a015329,a015329,2
a_a005795,a005795,3
a_a005639,a005639,2
a_a007578,a007578,2
a_a006818,a006818,2
a_a015771,a015771,4
a_a009690,a009690,3
a_a000207,a000207,2
a_a000670,a000670,3
a_a005360,a005360,2
a_a017962,a017962,2
a_a001208,a001208,4
a_a000028,a000028,3
a_a010226,a010226,2
a_a013738,a013738,2
a_a005147,a005147,2
a_a000180,a000180,3
a_a006963,a006963,2
a_a008146,a008146,3
a_a006411,a006411,2
a_a011737,a011737,2
a_a002458,a002458,4
a_a001514,a001514,2
a_a000147,a000147,3
a_a003185,a003185,3
a_a003192,a003192,4
a_a002638,a002638,2
a_a006581,a006581,2
a_a017935,a017935,2
a_a013762,a013762,2
a_a017665,a017665,2
a_a007373,a007373,2
a_a007179,a007179,2
a_a018206,a018206,2
a_a002985,a002985,3
a_a014921,a014921,2
a_a006659,a006659,2
a_a000796,a000796,3
a_a002966,a002966,2
a_a010085,a010085,3
a_a003033,a003033,2
a_a017260,a017260,2
a_a005961,a005961,3
a_a004150,a004150,3
a_a007209,a007209,2
a_a002398,a002398,3
a_a000336,a000336,4
a_a004301,a004301,2
a_a007221,a007221,2
a_a015734,a015734,4
a_a017965,a017965,2
a_a006613,a006613,2
a_a004896,a004896,3
a_a002400,a002400,3
a_a002388,a002388,3
a_a018131,a018131,2
a_a003762,a003762,2
a_a007337,a007337,2
a_a007042,a007042,2
a_a006213,a006213,2
a_a007304,a007304,2
a_a014770,a014770,3
a_a002138,a002138,3
a_a003490,a003490,2
a_a014096,a014096,2
a_a006628,a006628,2
a_a008715,a008715,4
a_a011104,a011104,3
a_a006336,a006336,2
a_a006468,a006468,2
a_a009543,a009543,2
a_a008048,a008048,2
a_a006551,a006551,2
a_a003557,a003557,3
a_a002025,a002025,3
d_d004427,d004427,4
a_a006798,a006798,2
a_a004963,a004963,2
a_a010954,a010954,3
a_a000322,a000322,3
a_a017705,a017705,2
a_a010387,a010387,2
a_a000440,a000440,4
a_a000309,a000309,2
a_a003441,a003441,3
a_a007593,a007593,2
a_a006351,a006351,2
a_a014022,a014022,4
a_a002367,a002367,4
a_a000112,a000112,3
a_a010574,a010574,2
a_a001281,a001281,3
a_a001366,a001366,4
a_a017869,a017869,2
a_a012514,a012514,4
a_a004075,a004075,3
a_a002201,a002201,3
a_a004198,a004198,4
a_a000990,a000990,4
a_a001591,a001591,3
a_a000130,a000130,2
a_a002260,a002260,3
a_a001729,a001729,3
a_a004296,a004296,2
a_a007185,a007185,2
a_a007865,a007865,2
a_a004335,a004335,2
a_a006889,a006889,2
a_a000177,a000177,2
a_a013688,a013688,4
a_a008092,a008092,2
b_b002933,b002933,3
a_a017657,a017657,2
a_a017513,a017513,2
a_a000134,a000134,4
c_c005193,c005193,2
a_a017941,a017941,2
a_a006814,a006814,2
a_a003525,a003525,3
a_a000471,a000471,3
a_a001976,a001976,3
a_a005137,a005137,2
a_a007382,a007382,2
a_a011575,a011575,3
a_a005633,a005633,2
a_a004089,a004089,3
a_a008121,a008121,3
a_a012193,a012193,3
a_a009685,a009685,3
a_a002558,a002558,2
a_a002699,a002699,3
a_a003160,a003160,2
a_a009646,a009646,2
a_a002324,a002324,2
a_a007559,a007559,2
a_a007584,a007584,2
a_a006114,a006114,2
a_a002246,a002246,3
a_a007473,a007473,2
a_a001057,a001057,3
a_a011577,a011577,2
a_a000293,a000293,4
a_a004146,a004146,3
a_a006435,a006435,2
a_a002040,a002040,2
a_a004291,a004291,2
a_a003693,a003693,4
a_a008491,a008491,4
a_a017653,a017653,2
a_a003636,a003636,2
a_a002984,a002984,3
a_a011446,a011446,3
a_a017916,a017916,2
a_a014228,a014228,3
a_a000268,a000268,4
a_a007959,a007959,2
a_a002941,a002941,4
a_a002128,a002128,2
a_a007204,a007204,2
a_a002162,a002162,2
a_a000448,a000448,4
a_a000736,a000736,2
a_a005214,a005214,2
c_c003316,c003316,3
a_a004246,a004246,3
a_a001351,a001351,4
a_a004990,a004990,2
a_a005777,a005777,2
a_a001513,a001513,4
a_a018149,a018149,2
a_a005703,a005703,2
a_a003014,a003014,4
a_a002819,a002819,4
a_a004527,a004527,2
a_a002331,a002331,2
a_a003380,a003380,2
a_a002864,a002864,2
d_d000959,d000959,4
a_a009501,a009501,2
a_a003659,a003659,4
a_a002892,a002892,3
a_a000851,a000851,3
a_a000383,a000383,3
a_a004265,a004265,2
a_a002752,a002752,2
a_a000740,a000740,3
a_a010249,a010249,3
c_c005060,c005060,2
a_a000201,a000201,4
a_a001649,a001649,3
a_a002108,a002108,3
a_a018158,a018158,2
a_a004726,a004726,2
a_a000279,a000279,4
a_a003317,a003317,4
a_a001750,a001750,3
a_a017841,a017841,2
a_a004711,a004711,2
a_a002157,a002157,2
a_a015323,a015323,3
a_a006487,a006487,2
a_a007770,a007770,2
a_a010558,a010558,2
a_a010288,a010288,4
a_a009428,a009428,4
a_a003394,a003394,2
a_a006809,a006809,2
a_a006434,a006434,2
a_a007344,a007344,2
a_a004318,a004318,2
a_a000574,a000574,4
a_a002070,a002070,2
a_a006293,a006293,2
a_a017876,a017876,2
a_a007652,a007652,2
a_a011069,a011069,3
a_a006821,a006821,2
a_a017570,a017570,2
a_a014234,a014234,4
a_a004821,a004821,2
a_a000444,a000444,3
a_a000150,a000150,3
a_a006022,a006022,2
a_a004669,a004669,2
a_a008050,a008050,2
a_a000930,a000930,3
a_a000793,a000793,5
a_a004321,a004321,2
a_a006408,a006408,2
a_a007651,a007651,2
a_a007774,a007774,2
a_a001546,a001546,3
a_a002366,a002366,3
a_a000396,a000396,4
a_a011777,a011777,3
a_a003921,a003921,4
a_a004061,a004061,4
a_a000014,a000014,3
a_a017870,a017870,2
a_a012504,a012504,3
a_a003927,a003927,4
a_a006574,a006574,2
a_a006498,a006498,2
a_a005924,a005924,2
a_a012042,a012042,2
a_a007035,a007035,2
a_a017835,a017835,2
a_a006438,a006438,2
a_a005399,a005399,3
a_a001901,a001901,3
a_a000657,a000657,3
a_a008084,a008084,4
a_a008134,a008134,2
a_a011641,a011641,2
a_a000082,a000082,4
a_a006296,a006296,2
a_a017855,a017855,2
a_a006499,a006499,2
a_a015683,a015683,3
a_a009440,a009440,4
a_a000338,a000338,3
a_a005784,a005784,2
a_a006949,a006949,2
a_a006979,a006979,2
a_a005608,a005608,2
a_a003329,a003329,3
a_a007336,a007336,2
a_a000351,a000351,2
a_a007768,a007768,2
a_a007829,a007829,2
a_a005546,a005546,3
a_a008096,a008096,3
a_a005165,a005165,2
a_a001105,a001105,3
a_a006472,a006472,2
a_a014139,a014139,2
a_a002691,a002691,3
a_a007325,a007325,2
a_a004755,a004755,2
a_a002833,a002833,2
a_a002279,a002279,2
a_a017874,a017874,2
a_a002571,a002571,2
a_a004756,a004756,3
a_a004976,a004976,2
a_a007268,a007268,2
a_a000935,a000935,3
a_a001371,a001371,2
a_a000296,a000296,3
a_a002826,a002826,3
a_a002978,a002978,2
a_a003183,a003183,3
a_a007653,a007653,2
a_a005320,a005320,2
a_a000951,a000951,4
a_a004273,a004273,2
a_a010985,a010985,2
a_a000314,a000314,7
a_a003543,a003543,3
a_a000334,a000334,3
a_a000912,a000912,3
a_a005166,a005166,2
a_a002902,a002902,3
a_a002055,a002055,3
a_a013881,a013881,4
a_a000122,a000122,4
a_a003919,a003919,3
a_a018218,a018218,2
a_a000080,a000080,9
a_a006027,a006027,2
a_a007124,a007124,2
a_a001923,a001923,3
a_a011423,a011423,3
a_a002301,a002301,2
a_a002018,a002018,3
a_a005204,a005204,2
a_a008166,a008166,2
a_a017976,a017976,2
a_a017776,a017776,2
a_a011392,a011392,3
a_a017931,a017931,2
a_a003016,a003016,4
a_a017818,a017818,2
a_a006768,a006768,2
a_a001997,a001997,3
a_a003812,a003812,4
a_a005654,a005654,2
a_a004535,a004535,2
a_a006716,a006716,2
a_a018142,a018142,2
a_a003336,a003336,2
a_a000949,a000949,4
a_a001712,a001712,3
a_a005678,a005678,2
a_a000588,a000588,4
a_a002602,a002602,4
a_a006479,a006479,2
a_a017819,a017819,2
a_a002674,a002674,2
a_a004298,a004298,2
a_a001871,a001871,2
c_c006073,c006073,2
a_a002930,a002930,3
a_a006279,a006279,2
a_a004787,a004787,2
a_a006554,a006554,2
a_a010145,a010145,2
a_a006412,a006412,2
a_a002282,a002282,2
a_a009660,a009660,2
a_a005161,a005161,2
a_a014377,a014377,2
a_a002711,a002711,3
a_a005141,a005141,2
a_a001103,a001103,4
a_a005247,a005247,4
a_a006467,a006467,2
a_a017825,a017825,2
a_a017837,a017837,2
a_a005610,a005610,2
a_a017827,a017827,2
a_a006578,a006578,2
a_a002718,a002718,4
a_a002053,a002053,2
a_a002377,a002377,3
a_a005244,a005244,3
a_a009809,a009809,3
a_a007649,a007649,2
a_a004639,a004639,3
