AGE_GRP,FAMILY_MEMB,TRAVEL_COMPANIONS_NUM,TRAVEL_TERM,TRAVEL_NUM,companions_per_family,lodging_payment_sum,lodging_payment_count,lodging_store_count,TRAVEL_STATUS_ACCOMPANY_CODE,visit_move_cnt,activity_payment_sum,activity_payment_count,activity_store_count,activity_history_rows,activity_type_unique,activity_per_day,spending_per_day,activity_to_lodging_ratio,MVMN_NM_CODE,IS_FAILED_TRIP
30.0,3.0,2.0,3.0,6.0,0.6666666666666666,119000,0,0,5,3.0,12500,1,1,1,1,1.0,131500.0,0.1050411341081167,3,0.0
30.0,2.0,1.0,2.0,1.0,0.5,119000,0,0,2,10.0,97600,4,4,10,5,1.3333333333333333,72200.0,0.8201611751161755,1,0.0
20.0,4.0,1.0,2.0,1.0,0.25,119000,0,0,2,5.0,60500,3,3,4,2,1.5,89750.0,0.508399089083285,2,1.0
20.0,4.0,0.0,3.0,10.0,0.0,119000,0,0,6,8.0,39000,3,3,7,4,1.5,79000.0,0.3277283384173242,3,1.0
50.0,3.0,1.0,2.0,1.0,0.3333333333333333,119000,0,0,2,4.0,84000,0,0,7,4,0.0,203000.0,0.7058764212065445,3,0.0
50.0,2.0,0.0,1.0,5.0,0.0,119000,0,0,6,8.0,53000,4,3,8,6,2.0,86000.0,0.445374408618415,1,0.0
50.0,4.0,0.0,3.0,3.0,0.0,119000,0,0,6,11.0,116500,3,3,9,4,1.5,117750.0,0.978983369887648,1,0.0
40.0,4.0,3.0,3.0,3.0,0.75,119000,0,0,8,8.0,151700,4,4,6,3,1.0,67675.0,1.2747792035361047,2,1.0
20.0,2.0,1.0,2.0,1.0,0.5,262590,2,1,2,15.0,110900,5,5,17,6,1.6666666666666667,124496.66666666669,0.4223297828181468,1,0.0
40.0,1.0,0.0,3.0,1.0,0.0,119000,0,0,6,8.0,3000,1,1,6,3,0.5,61000.0,0.025209872185948,3,1.0
50.0,3.0,0.0,1.0,2.0,0.0,119000,0,0,6,4.0,5500,1,1,2,1,0.5,62250.0,0.0462180990075713,3,0.0
30.0,3.0,0.0,2.0,2.0,0.0,119000,0,0,6,2.0,31500,4,4,7,4,2.0,75250.0,0.2647036579524542,1,0.0
30.0,2.0,0.0,2.0,2.0,0.0,70000,1,1,6,8.0,212520,10,9,16,5,3.333333333333333,94173.33333333331,3.0359566291910114,2,1.0
20.0,1.0,0.0,3.0,20.0,0.0,119000,0,0,6,22.0,32700,4,3,20,6,0.8,30340.0,0.2747876068268334,1,0.0
30.0,3.0,3.0,3.0,4.0,1.0,255000,2,2,5,11.0,161000,3,3,13,6,1.0,138666.66666666666,0.631370073058537,2,0.0
40.0,2.0,1.0,3.0,2.0,0.5,170000,1,1,2,13.0,244500,11,10,19,5,2.75,103625.0,1.4382268339598003,2,0.0
50.0,1.0,1.0,3.0,4.0,1.0,119000,0,0,2,3.0,45800,2,2,2,2,2.0,164800.0,0.3848707153721397,3,1.0
40.0,4.0,3.0,2.0,2.0,0.75,119000,0,0,8,2.0,84000,0,0,5,4,0.0,203000.0,0.7058764212065445,2,0.0
20.0,3.0,2.0,1.0,2.0,0.6666666666666666,119000,0,0,7,10.0,184400,6,5,12,5,2.0,101133.33333333331,1.549566810362938,2,0.0
20.0,1.0,0.0,3.0,4.0,0.0,119000,0,0,6,10.0,103500,5,5,9,5,1.25,55625.0,0.8697405904152066,1,1.0
20.0,1.0,1.0,3.0,2.0,1.0,119000,0,0,1,5.0,69000,2,2,2,2,2.0,188000.0,0.5798270602768044,2,0.0
40.0,1.0,0.0,3.0,2.0,0.0,21673,1,1,6,13.0,84900,9,9,22,7,2.25,26643.25,3.917135738673065,1,0.0
