TRAVEL_ID,AGE_GRP,GENDER,MOVE_CNT,MVMN_NM,INCOME,HOUSE_INCOME,LODGING_PAYMENT_SUM,TRIP_DAYS,DGSTFN_AVG,RCMDTN_AVG,REVISIT_AVG,TRAVEL_START_YEAR,TRAVEL_START_MONTH,TRAVEL_START_YMD,TRAVEL_END_YMD,ACTIVITY_CD_1,ACTIVITY_CD_2,ACTIVITY_CD_3,ACTIVITY_CD_4,ACTIVITY_CD_5,ACTIVITY_HISTORY_ROWS,ACTIVITY_PAYMENT_SUM,ACTIVITY_TYPE_UNIQUE,MISSION_CODE_COUNT,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,IS_FAILED_TRIP,TRAIN_PURPOSE,TRAVEL_MISSION_CHECK,MISSION_PURPOSE_GAP_RATIO
e_e000376,50,여,4,자가용,1,8.0,0,1,3.25,3.5,3.25,2023,5,2023-05-29,2023-05-30,3,0,0,2,1,6,66900,3,3,2,3인 이상 여행(가족 외),1,22;3;4,22;24;3,0.3333
e_e000377,30,여,4,자가용,1,6.0,0,1,4.0,4.0,4.0,2023,5,2023-05-21,2023-05-22,2,1,1,1,0,5,147900,4,3,3,자녀 동반 여행,0,1;11;21;22;6,22;24;6,0.3333
e_e000379,40,남,4,자가용,7,10.0,0,1,4.0,3.75,3.75,2023,5,2023-05-28,2023-05-29,2,1,1,1,0,5,107000,4,3,2,자녀 동반 여행,0,11,1;11;6,0.6667
e_e000381,30,여,3,자가용,3,7.0,120000,3,3.67,3.67,3.67,2023,6,2023-06-02,2023-06-05,3,0,3,2,2,11,51000,5,3,3,자녀 동반 여행,0,22;24;26;5;8,24;5;8,0.0
e_e000384,30,여,8,자가용,8,12.0,120000,3,3.5,3.38,3.38,2023,6,2023-06-04,2023-06-07,7,3,1,3,2,16,138030,5,3,1,2인 가족 여행,1,21;22;25;3;8,21;22;8,0.0
e_e000385,30,남,7,자가용,4,10.0,250000,2,3.86,3.71,3.43,2023,5,2023-05-21,2023-05-23,6,0,0,2,3,11,112700,3,3,1,2인 여행(가족 외),0,8,24;3;8,0.6667
e_e000387,30,남,4,자가용,1,6.0,150000,3,4.75,4.75,5.0,2023,6,2023-06-02,2023-06-05,5,0,1,3,3,14,44500,5,3,3,자녀 동반 여행,0,2;27;5;7;8,27;5;8,0.0
e_e000395,40,여,6,자가용,4,8.0,172050,2,4.5,3.83,3.83,2023,5,2023-05-20,2023-05-22,7,1,3,2,2,15,188500,5,3,2,자녀 동반 여행,0,1;2;22;23;4,22;23;4,0.0
e_e000396,30,여,9,자가용,2,5.0,543400,2,4.11,4.0,3.89,2023,5,2023-05-20,2023-05-22,3,2,4,0,3,12,168600,4,3,1,2인 가족 여행,0,23,2;23;5,0.6667
e_e000397,50,여,2,자가용,5,11.0,200000,2,4.5,4.5,4.5,2023,5,2023-05-28,2023-05-30,2,0,0,1,1,5,31000,4,3,2,3인 이상 여행(가족 외),0,21;22;24;6,21;22;5,0.3333
e_e000400,50,남,1,자가용,1,11.0,0,1,5.0,5.0,5.0,2023,5,2023-05-16,2023-05-17,1,1,0,0,0,2,32400,2,3,3,3인 이상 여행(가족 외),0,21;22;24;26,22;24;26,0.0
e_e000403,40,여,11,대중교통 등,4,6.0,103370,2,4.45,4.45,4.27,2023,5,2023-05-27,2023-05-29,7,0,1,2,1,12,213700,5,3,2,3인 이상 여행(가족 외),0,10;21;22;6,22;23;6,0.3333
e_e000406,60,여,5,자가용,2,7.0,0,2,4.2,3.4,3.4,2023,5,2023-05-20,2023-05-22,1,0,3,1,2,7,101000,4,3,2,3대 동반 여행(친척 포함),1,11;2;24;3;9,2;24;8,0.3333
e_e000407,50,여,5,자가용,4,9.0,0,1,4.0,4.0,3.6,2023,5,2023-05-27,2023-05-28,2,0,2,1,0,5,170000,3,3,4,3인 이상 여행(가족 외),0,2;21;22;24;26,21;22;26,0.0
e_e000409,60,여,3,자가용,2,2.0,0,1,3.67,4.0,4.0,2023,5,2023-05-23,2023-05-24,2,2,2,2,2,10,80300,5,3,2,자녀 동반 여행,0,2;21;22;26,1;2;21,0.3333
e_e000412,20,여,18,대중교통 등,1,1.0,81626,2,4.33,4.28,4.0,2023,6,2023-06-03,2023-06-05,7,1,0,4,4,21,112800,6,3,0,나홀로 여행,0,1;22;3;6,1;22;3,0.0
e_e000418,40,여,5,자가용,5,10.0,25300,2,4.0,4.0,4.0,2023,6,2023-06-03,2023-06-05,3,0,2,2,2,9,48500,4,3,2,자녀 동반 여행,0,22;5;8,21;22;8,0.3333
e_e000422,40,여,12,자가용,1,6.0,281358,3,4.92,4.83,4.83,2023,6,2023-06-04,2023-06-07,5,3,3,3,12,26,55600,5,3,0,나홀로 여행,0,1;11;22;3;4,21;23;6,1.0
e_e000425,30,여,2,자가용,6,11.0,0,1,4.0,3.5,4.0,2023,5,2023-05-20,2023-05-21,3,0,1,1,1,6,41800,4,3,3,자녀 동반 여행,1,22,22;8;9,0.6667
e_e000429,40,여,2,자가용,4,12.0,0,1,5.0,5.0,5.0,2023,6,2023-06-03,2023-06-04,1,0,1,2,2,6,74400,4,3,2,자녀 동반 여행,0,1;22;4;6,1;22;4,0.0
e_e000430,20,남,15,자가용,4,7.0,115000,4,4.07,4.07,3.8,2023,5,2023-05-22,2023-05-26,7,0,1,5,8,26,140000,6,3,0,나홀로 여행,1,1;10;2;21;22;24;26;4;5;7,2;22;4,0.0
e_e000432,20,여,9,대중교통 등,4,7.0,215600,2,4.33,4.22,4.11,2023,5,2023-05-21,2023-05-23,4,1,2,2,2,11,136500,5,3,1,2인 가족 여행,0,1;22;23;4;5,23;4;5,0.0
e_e000433,20,여,3,자가용,4,8.0,0,1,4.33,4.33,3.67,2023,5,2023-05-15,2023-05-16,2,0,2,1,1,6,68890,4,3,1,2인 여행(가족 외),0,2;22;26;4;8,2;26;8,0.0
e_e000435,40,여,2,자가용,4,7.0,0,1,5.0,5.0,5.0,2023,5,2023-05-27,2023-05-28,3,0,2,2,0,7,201900,3,3,3,3인 이상 여행(가족 외),0,11;2,11;24;6,0.6667
e_e000438,40,남,21,자가용,6,9.0,555600,3,5.0,5.0,4.95,2023,5,2023-05-27,2023-05-30,8,9,5,6,4,34,627600,6,3,3,자녀 동반 여행,0,1;12;3;4;6,1;3;4,0.0
e_e000445,30,남,5,자가용,5,8.0,124000,2,4.2,4.4,4.2,2023,5,2023-05-19,2023-05-21,2,2,0,2,2,8,272290,4,3,1,2인 가족 여행,0,21;22;24;25;8,21;22;25,0.0
e_e000447,30,여,3,자가용,1,6.0,0,1,3.0,3.0,3.0,2023,5,2023-05-20,2023-05-21,2,0,0,1,1,4,91200,3,3,3,자녀 동반 여행,1,1;10;11;12;13;2;21;22;23;24;26;27;3;4;6;8;9,22;24;8,0.0
e_e000448,30,남,9,자가용,5,5.0,0,2,3.67,3.56,3.67,2023,5,2023-05-27,2023-05-29,3,1,3,2,2,15,255470,7,3,2,자녀 동반 여행,0,22;3;5,22;3;6,0.3333
e_e000450,20,여,5,대중교통 등,4,7.0,0,1,4.0,4.0,4.0,2023,5,2023-05-20,2023-05-21,3,1,0,2,1,8,59800,5,3,0,나홀로 여행,0,1;2,1;2;4,0.3333
e_e000451,40,남,6,자가용,3,6.0,75000,3,2.83,2.67,2.5,2023,5,2023-05-28,2023-05-31,2,0,2,0,2,6,83000,3,3,2,3인 이상 여행(가족 외),1,2;23;5;9,1;2;3,0.6667
e_e000453,30,남,34,대중교통 등,7,11.0,361490,4,4.26,4.18,3.94,2023,6,2023-06-03,2023-06-07,16,3,7,7,6,45,594800,6,3,2,자녀 동반 여행,1,11;26;3;4;6,2;3;4,0.3333
e_e000454,30,여,4,자가용,6,7.0,0,1,5.0,5.0,5.0,2023,5,2023-05-20,2023-05-21,0,1,3,0,0,4,31000,2,3,3,자녀 동반 여행,0,21;22;24;26;27,11;24;3,0.6667
e_e000460,40,여,10,대중교통 등,4,12.0,387200,2,5.0,4.9,4.8,2023,5,2023-05-15,2023-05-17,5,4,2,2,3,16,216000,5,3,2,3인 이상 여행(가족 외),0,1;4;5;6;9,21;22;23,1.0
e_e000466,30,여,3,자가용,5,8.0,157731,2,4.0,3.67,3.67,2023,5,2023-05-28,2023-05-30,2,0,1,0,0,3,142200,2,3,3,자녀 동반 여행,0,2;8,11;21;8,0.6667
e_e000469,20,여,4,자가용,2,12.0,450000,2,4.0,4.0,4.0,2023,5,2023-05-20,2023-05-22,1,1,0,1,1,9,291140,6,3,20,3인 이상 여행(가족 외),0,1;11;22;7;8,21;23;24,1.0
e_e000472,20,남,19,대중교통 등,2,8.0,74000,4,4.74,4.74,4.47,2023,6,2023-06-02,2023-06-06,8,0,2,1,6,23,403800,6,3,0,나홀로 여행,0,1;22;23;4;7,1;4;7,0.0
e_e000473,30,남,12,대중교통 등,3,3.0,0,2,5.0,5.0,5.0,2023,5,2023-05-20,2023-05-22,2,2,0,4,1,14,26600,6,3,2,자녀 동반 여행,0,1;22;26;27;4,22;27;4,0.0
e_e000474,30,남,6,자가용,5,7.0,205000,3,5.0,5.0,5.0,2023,5,2023-05-26,2023-05-29,5,1,1,1,3,11,213700,5,3,0,나홀로 여행,0,1;23;27;28,1;23;9,0.3333
e_e000477,20,여,10,자가용,5,7.0,115000,3,3.9,3.8,3.8,2023,5,2023-05-27,2023-05-30,7,4,0,1,0,12,64070,3,3,1,2인 여행(가족 외),1,1;21;22;8;9,21;24;8,0.3333
e_e000479,50,남,7,자가용,5,6.0,0,2,5.0,5.0,5.0,2023,5,2023-05-26,2023-05-28,5,1,1,0,3,10,193150,4,3,2,3인 이상 여행(가족 외),0,4,11;4;7,0.6667
e_e000480,50,여,2,자가용,5,11.0,0,1,3.5,3.5,3.0,2023,5,2023-05-19,2023-05-20,2,0,0,1,0,3,42000,2,3,3,3인 이상 여행(가족 외),1,22;27;28;5,27;28;5,0.0
e_e000481,20,여,7,대중교통 등,3,4.0,0,1,4.29,3.86,3.57,2023,5,2023-05-28,2023-05-29,2,2,1,2,1,8,127800,5,3,0,나홀로 여행,1,1;2;22;6,1;22;6,0.0
e_e000482,30,남,15,대중교통 등,5,7.0,335104,3,4.2,4.07,4.0,2023,5,2023-05-19,2023-05-22,8,4,0,1,5,20,505500,5,3,1,2인 여행(가족 외),0,1;23,1;22;23,0.3333
e_e000483,60,여,3,자가용,1,5.0,980000,3,3.67,3.0,3.0,2023,5,2023-05-27,2023-05-30,2,0,1,2,2,7,87500,4,3,7,3대 동반 여행(친척 포함),1,10;2;22,2;22;5,0.3333
e_e000486,20,남,2,대중교통 등,6,7.0,0,1,4.0,3.5,3.0,2023,5,2023-05-15,2023-05-16,0,1,0,1,1,4,10500,4,3,0,나홀로 여행,1,1;2;27;4;6,1;2;4,0.0
e_e000490,30,여,13,대중교통 등,3,7.0,71400,2,4.23,3.85,3.85,2023,6,2023-06-02,2023-06-04,6,1,4,0,3,15,126100,5,3,0,나홀로 여행,0,22;26;27;6,26;27;6,0.0
e_e000491,40,남,6,자가용,4,6.0,139000,2,4.17,4.5,4.0,2023,5,2023-05-27,2023-05-29,3,1,0,2,3,9,86680,4,3,2,3인 이상 여행(가족 외),0,12;21;22;24;8,12;21;8,0.0
e_e000492,50,남,3,자가용,10,12.0,0,1,3.0,3.33,3.67,2023,5,2023-05-29,2023-05-30,2,2,1,0,1,7,92700,5,3,2,3인 이상 여행(가족 외),1,1;10;22;26;4,1;10;4,0.0
e_e000496,20,남,7,자가용,4,11.0,229740,2,4.86,4.86,4.86,2023,5,2023-05-16,2023-05-18,4,1,0,1,1,7,233600,4,3,1,2인 여행(가족 외),0,1;2;22;23;4,2;22;23,0.0
e_e000500,40,여,8,자가용,3,8.0,380000,3,4.38,4.88,4.88,2023,6,2023-06-03,2023-06-06,5,2,4,1,3,17,115880,6,3,3,자녀 동반 여행,0,21;22;24;26;27,22;24;26,0.0
e_e000504,30,여,3,대중교통 등,5,8.0,0,1,4.0,4.0,4.0,2023,5,2023-05-20,2023-05-21,4,0,0,1,3,9,52100,4,3,0,나홀로 여행,0,21;27;28,21;27;28,0.0
e_e000505,40,남,6,자가용,7,7.0,0,1,4.17,3.5,3.33,2023,5,2023-05-18,2023-05-19,2,0,2,4,3,11,22900,4,3,0,나홀로 여행,1,22;3;4,22;3;4,0.0
