TRAVEL_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_MISSION_CHECK,TRAVEL_LENGTH,SEASON_Fall,SEASON_Summer,SEASON_nan,WEEKEND_RATIO,SEASON_Spring,activity_payment_sum,activity_payment_count,activity_store_count,activity_history_rows,activity_type_unique,lodging_payment_sum,lodging_payment_count,lodging_store_count,IS_FAILED_TRIP,visit_trip_days,visit_move_cnt,AVG_ACTIVITIES_PER_DAY,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM
e_e000040,3;4,2023-04-28,2023-04-30,정보없음,4;3;7,3,False,False,False,0.6666666666666666,True,64400,3,3,5,2,119000,0,0,1.0,3.0,9.0,1.6666666666666667,41.0,남,30.0,6.0,1.0,1.0,3.0,5.0,7.0,3.0,6.0,2인 여행(가족 외),1.0
e_e000041,4;7,2023-04-28,2023-05-01,정보없음,3;4;24,4,False,False,False,0.5,True,163500,10,10,14,5,119000,0,0,0.0,4.0,16.0,3.5,11.0,남,60.0,7.0,2.0,2.0,2.0,11.0,12.0,4.0,1.0,부모 동반 여행,1.0
e_e000042,12;24;5,2023-05-01,2023-05-02,정보없음,5;12;24,2,False,False,False,0.0,True,72000,2,2,7,5,119000,0,0,0.0,2.0,8.0,3.5,11.0,여,20.0,6.0,1.0,4.0,3.0,4.0,10.0,3.0,11.0,2인 여행(가족 외),1.0
e_e000045,25,2023-04-29,2023-05-01,정보없음,8;25;21,3,False,False,False,0.6666666666666666,True,40070,4,4,13,5,119000,0,0,1.0,3.0,7.0,4.333333333333333,41.0,여,60.0,5.0,2.0,3.0,3.0,2.0,6.0,2.0,2.0,2인 가족 여행,1.0
e_e000046,5,2023-04-28,2023-04-29,정보없음,5;10;21,2,False,False,False,0.5,True,180300,1,1,7,6,119000,0,0,0.0,2.0,4.0,3.5,41.0,남,60.0,6.0,2.0,3.0,1.0,4.0,6.0,2.0,2.0,3인 이상 여행(가족 외),3.0
e_e000293,1;22;4;6,2023-05-28,2023-05-29,대중교통 등,6;1;4,2,False,False,False,0.5,True,151600,7,7,12,4,119000,0,0,0.0,2.0,11.0,6.0,44.0,여,30.0,6.0,1.0,1.0,3.0,3.0,7.0,3.0,2.0,나홀로 여행,0.0
e_e000294,1;2;23;26,2023-05-19,2023-05-22,자가용,2;23;22,4,False,False,False,0.5,True,386300,13,8,21,5,133200,4,4,1.0,4.0,7.0,5.25,45.0,여,20.0,6.0,1.0,2.0,7.0,3.0,3.0,1.0,3.0,2인 여행(가족 외),1.0
e_e000296,9;11;21;26;1;22;23,2023-05-23,2023-05-26,대중교통 등,9;22;21,4,False,False,False,0.0,True,106600,7,7,11,4,119000,0,0,0.0,4.0,13.0,2.75,41.0,여,30.0,6.0,1.0,2.0,2.0,5.0,7.0,3.0,8.0,나홀로 여행,0.0
e_e000299,3;6,2023-05-27,2023-05-29,대중교통 등,3;6;11,3,False,False,False,0.6666666666666666,True,257400,8,7,13,4,119000,0,0,0.0,3.0,14.0,4.333333333333333,50.0,여,50.0,5.0,1.0,1.0,3.0,3.0,7.0,3.0,4.0,나홀로 여행,0.0
e_e000301,22;23;26;4,2023-05-19,2023-05-21,대중교통 등,22;23;26,3,False,False,False,0.6666666666666666,True,28100,2,2,7,4,324500,1,1,0.0,3.0,7.0,2.3333333333333335,28.0,남,20.0,4.0,1.0,4.0,9.0,4.0,7.0,3.0,6.0,2인 여행(가족 외),1.0
e_e000302,2;21;22;26,2023-05-19,2023-05-22,대중교통 등,2;22;26,4,False,False,False,0.5,True,501200,13,11,18,5,119000,0,0,0.0,4.0,19.0,4.5,27.0,여,20.0,6.0,1.0,1.0,3.0,4.0,7.0,3.0,5.0,나홀로 여행,0.0
e_e000307,3,2023-05-21,2023-05-22,자가용,3;22;6,2,False,False,False,0.5,True,37800,3,3,7,3,119000,0,0,0.0,2.0,8.0,3.5,28.0,남,30.0,6.0,1.0,3.0,3.0,4.0,7.0,2.0,1.0,나홀로 여행,0.0
e_e000311,2;22;26;5,2023-05-27,2023-05-28,자가용,2;22;26,2,False,False,False,1.0,True,71800,3,3,6,3,119000,0,0,1.0,2.0,8.0,3.0,11.0,남,30.0,6.0,2.0,3.0,3.0,5.0,6.0,2.0,2.0,자녀 동반 여행,2.0
e_e000317,1;12;4;5;7,2023-05-27,2023-05-30,대중교통 등,4;24;1,4,False,False,False,0.5,True,137700,7,7,29,7,59000,1,1,1.0,4.0,30.0,7.25,41.0,남,30.0,6.0,1.0,1.0,3.0,4.0,7.0,1.0,1.0,나홀로 여행,0.0
e_e000319,1;12;24;5;6,2023-05-31,2023-06-03,대중교통 등,4;1;24,4,False,False,False,0.25,True,98100,2,2,24,5,119000,0,0,1.0,4.0,22.0,6.0,28.0,여,50.0,6.0,2.0,2.0,4.0,3.0,5.0,3.0,10.0,나홀로 여행,0.0
e_e000322,1;24;3;5;6,2023-06-05,2023-06-08,대중교통 등,24;22;1,4,False,True,False,0.0,False,11000,1,1,18,6,119000,0,0,1.0,4.0,19.0,4.5,28.0,남,60.0,6.0,2.0,2.0,4.0,5.0,5.0,2.0,1.0,나홀로 여행,0.0
e_e000323,22;26;1;2;4,2023-05-27,2023-05-29,대중교통 등,3;22;26,3,False,False,False,0.6666666666666666,True,141400,7,7,17,4,65000,1,1,0.0,3.0,14.0,5.666666666666667,11.0,여,20.0,5.0,1.0,2.0,13.0,3.0,6.0,2.0,2.0,2인 여행(가족 외),1.0
e_e000329,1;12;7;9,2023-05-26,2023-05-29,대중교통 등,7;1;12,4,False,False,False,0.5,True,537060,12,12,16,5,119000,0,0,1.0,4.0,16.0,4.0,41.0,여,20.0,6.0,1.0,1.0,3.0,4.0,7.0,3.0,3.0,2인 여행(가족 외),1.0
e_e000331,1;2,2023-05-28,2023-05-31,대중교통 등,2;22;1,4,False,False,False,0.25,True,287400,9,8,18,7,119000,0,0,0.0,4.0,13.0,4.5,26.0,여,30.0,6.0,1.0,1.0,13.0,5.0,7.0,2.0,1.0,나홀로 여행,0.0
e_e000332,1;2;5;7;9,2023-05-19,2023-05-21,자가용,26;24;7,3,False,False,False,0.6666666666666666,True,243000,5,5,7,3,65000,1,1,0.0,3.0,7.0,2.3333333333333335,28.0,남,20.0,5.0,1.0,1.0,4.0,3.0,7.0,2.0,2.0,2인 여행(가족 외),1.0
e_e000334,1;22;26;6;9,2023-05-28,2023-05-30,자가용,22;12;1,3,False,False,False,0.3333333333333333,True,156900,6,6,11,5,48000,1,1,0.0,3.0,8.0,3.6666666666666665,28.0,여,20.0,5.0,1.0,5.0,3.0,4.0,10.0,2.0,1.0,2인 여행(가족 외),1.0
e_e000336,3;11;23;26,2023-05-27,2023-05-30,자가용,1;2;23,4,False,False,False,0.5,True,160100,4,3,11,5,380241,2,1,0.0,4.0,9.0,2.75,41.0,여,30.0,5.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,자녀 동반 여행,2.0
