TRAVEL_ID,SUCCESS_SCORE,TRIP_DAYS,MOVE_CNT,activity_payment_sum,activity_history_rows,ACTIVITY_TYPE_CD,payment_persona,activity_balance_index,GENDER,AGE_GRP,HOUSE_INCOME,TRAVEL_MOTIVE_1,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM,RESIDENCE_SGG_CD,move_cnt_per_day,activity_payment_sum_per_day,activity_history_rows_per_day,travel_intensity_index
a_a002209,50.0,3,7,54100,12,1.0,med,2.2295739513001473,2,20,7,2,나홀로 여행,0.0,41.0,2.3333333333333335,18033.333333333332,4.0,-0.5107422048033705
a_a004771,28.222222222222218,2,5,5500,5,4.0,low,1.5219280905592771,1,40,9,1,나홀로 여행,0.0,28.0,2.5,2750.0,2.5,-1.1329482853500639
a_a002668,31.333333333333336,2,5,17000,4,1.0,low,1.9999999942292197,2,30,7,3,정보없음,1.0,36.0,2.5,8500.0,2.0,-1.3785935726049114
a_a007192,39.33333333333333,2,5,18300,5,5.0,low,1.3709505901265835,1,20,12,6,나홀로 여행,0.0,11.0,2.5,9150.0,2.5,-1.1329482853500639
a_a003309,50.0,2,8,31600,8,1.0,low,2.249999992786525,2,40,6,6,나홀로 여행,0.0,11.0,4.0,15800.0,4.0,0.6365556073751161
a_a014374,35.44444444444444,2,7,41000,7,4.0,low,1.5566567031347378,2,30,7,2,2인 가족 여행,1.0,41.0,3.5,20500.0,3.5,0.04672097646672267
a_a011873,31.111111111111107,1,4,17100,9,1.0,low,2.0588138831177263,2,20,5,2,나홀로 여행,0.0,41.0,4.0,17100.0,9.0,3.0930084799235895
a_a007603,34.666666666666664,2,4,7200,7,5.0,low,1.8423709874063285,2,60,7,2,2인 가족 여행,1.0,11.0,2.0,3600.0,3.5,-0.9858470544939153
a_a007267,40.0,2,7,98100,6,2.0,med,1.2516291630597378,2,60,8,3,2인 가족 여행,1.0,36.0,3.5,49050.0,3.0,-0.1989243107881247
a_a003144,40.08333333333333,3,9,112650,10,5.0,med,1.8464393389002354,2,20,5,7,2인 여행(가족 외),1.0,41.0,3.0,37550.0,3.3333333333333335,-0.3793501296051057
