TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,PAYMENT_NUM,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,LODGING_TYPE_NM,RSVT_YN_ENC,LODGING_TYPE_CD_ENC,PAYMENT_MTHD_SE_ENC
e_e000422,포포인츠 바이 쉐라톤 조선 서울명동,1,1,Y,1,(주)조선호텔앤리조트 포포인즈 조선,서울 중구 삼일대로10길 36,서울 중구 저동2가 89,2023-06-04 14:45:00,1,130438,호텔,1,0,0
e_e000422,포포인츠 바이쉐라톤 서울구로,1,1,Y,1,와이씨앤티(주)포포인츠 바이 쉐라톤,서울 구로구 디지털로32길 72,서울 구로구 구로동 1128-1,2023-06-05 17:47:00,1,150920,호텔,1,0,0
e_e000430,호텔아띠,1,2,Y,1,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,정보없음,2023-05-23 22:08:00,1,35000,펜션,1,1,0
e_e000430,호텔코고라,1,2,Y,1,정보없음,정보없음,정보없음,2023-05-19 00:00:00,3,80000,펜션,1,1,2
e_e000432,포포인츠바이쉐라톤 수원호텔,1,1,Y,2,포포인트바이쉐라톤,경기 수원시 팔달구 효원로307번길 27,경기 수원시 팔달구 인계동 1122-8,2023-05-21 17:34:00,1,215600,호텔,1,0,0
e_e000438,나인트리프리미어호텔 인사동,1,1,Y,4,(주)위메프,서울 강남구 영동대로 502,정보없음,2023-04-01 01:05:00,1,525600,호텔,1,0,0
e_e000438,나인트리프리미어호텔 인사동,3,1,Y,4,파르나스호텔 주식회사,서울 종로구 인사동길 49,정보없음,2023-05-27 16:25:00,1,30000,호텔,1,0,0
e_e000445,세인트펜션,1,3,Y,2, 주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,2023-05-13 00:45:00,1,124000,콘도미니엄,1,2,0
e_e000448,숙소,0,10,N,3,정보없음,신현리 258-2,정보없음,2023-05-27 00:00:00,4,0,게스트하우스,0,9,3
e_e000451,Capsule 24,0,7,Y,3,정보없음,부평구 육동로 7,정보없음,2023-05-28 00:00:00,1,75000,전통숙소,1,6,0
e_e000453,소테츠호텔즈 더스프라지르 서울명동,1,1,Y,3,아고다,정보없음,정보없음,2023-02-21 12:08:00,1,361490,호텔,1,0,0
e_e000460,그랜드인터컨티넨탈 서울파르나스,1,1,Y,3,그랜드 인터컨티넨탈 서울 파르나스,정보없음,정보없음,2023-05-15 00:00:00,1,387200,호텔,1,0,0
e_e000466,핀란드캠핑성,1,5,Y,4,주식회사 핀란드캠핑성,경기 가평군 상면 물골길 102,경기 가평군 상면 봉수리 14,2023-02-14 10:55:00,1,157731,유스호스텔,1,4,0
e_e000469,백궁가든펜션,0,3,Y,21,정보없음,경기 포천시 신북면 청신로1059번길 17,경기 포천시 신북면 갈월리 454,2023-05-20 00:00:00,5,450000,콘도미니엄,1,2,4
e_e000472,더큐브호텔,0,7,Y,1,정보없음,서울 중구 퇴계로20길 31,서울 중구 남산동2가 18-9,2023-06-02 00:00:00,1,49000,전통숙소,1,6,0
e_e000472,서울숲스테이,0,7,Y,1,정보없음,서울 성동구 왕십리로 108-1,서울 성동구 성수동1가 656-1066,2023-06-02 00:00:00,1,25000,전통숙소,1,6,0
e_e000474,아셈호텔,2,1,Y,1,주식회사아셈,경기 김포시 태장로795번길 145,경기 김포시 장기동 2011-2,2023-05-22 10:32:00,1,130000,호텔,1,0,0
