TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM
e004720,41,2,60,4,3,3,11,4,9.0,2,2,2,4,4,4,4,4,5,5,경기도,서울,2인 가족 여행,2,1
e000914,30,2,20,6,1,1,3,4,7.0,3,2,3,6,2,3,2,2,4,1,대전광역시,서울,나홀로 여행,1,0
e003564,41,2,30,7,2,4,2,7,12.0,2,2,1,1,1,3,2,1,1,7,경기도,경기,자녀 동반 여행,8,3
e000396,41,2,30,6,2,2,2,2,5.0,2,1,3,1,2,5,6,6,1,6,경기도,인천,2인 가족 여행,9,1
e001890,11,1,20,6,1,4,3,5,9.0,3,4,6,3,2,3,6,3,5,6,서울특별시,경기,2인 여행(가족 외),3,1
e007797,41,1,30,6,1,3,3,5,8.0,3,4,2,1,2,2,1,1,4,6,경기도,경기,나홀로 여행,1,0
e003039,41,2,30,6,2,4,5,11,12.0,2,1,2,1,7,2,2,7,4,5,경기도,경기,나홀로 여행,2,0
e000782,41,1,50,7,2,3,2,5,9.0,2,1,4,7,7,2,5,7,1,2,경기도,서울,3인 이상 여행(가족 외),5,2
e008478,11,2,20,5,1,1,12,1,7.0,3,4,2,2,2,2,4,4,6,3,서울특별시,경기,2인 여행(가족 외),10,1
e000655,11,1,50,6,1,1,4,3,7.0,2,2,3,2,2,4,3,5,3,2,서울특별시,경기,나홀로 여행,2,0
e006837,41,2,60,5,2,4,9,4,7.0,3,5,5,4,5,2,4,5,2,7,경기도,경기,자녀 동반 여행,1,1
e008666,27,1,40,4,2,4,4,4,4.0,2,1,1,1,6,2,6,6,6,5,대구광역시,서울,나홀로 여행,1,0
e002058,41,1,60,6,2,2,2,3,6.0,3,2,1,7,1,1,1,7,7,7,경기도,경기,3인 이상 여행(가족 외),3,5
e010598,30,2,20,6,1,2,12,2,4.0,3,3,3,2,2,2,2,6,6,7,대전광역시,서울,2인 여행(가족 외),2,1
e007838,30,2,30,6,1,1,3,3,7.0,3,6,7,6,7,7,7,6,2,6,대전광역시,서울,나홀로 여행,8,0
e007403,41,2,20,8,1,1,2,5,7.0,3,2,6,6,4,3,4,5,2,6,경기도,서울,3인 이상 여행(가족 외),1,3
e007169,41,2,40,6,2,3,11,1,8.0,2,3,2,2,1,6,6,5,4,6,경기도,서울,자녀 동반 여행,8,1
e001267,41,1,40,6,2,2,2,7,7.0,2,1,4,3,2,3,2,5,2,6,경기도,경기,2인 여행(가족 외),1,1
e005765,41,1,40,6,1,1,2,5,7.0,3,4,4,2,3,2,3,5,4,2,경기도,서울,2인 여행(가족 외),2,1
e001538,41,1,40,4,2,2,2,4,6.0,3,4,2,1,1,4,1,1,1,7,경기도,경기,3인 이상 여행(가족 외),2,5
e000608,47,2,20,6,1,3,12,3,7.0,2,3,4,2,4,4,5,4,6,6,경상북도,서울,나홀로 여행,7,0
e003810,28,2,30,7,2,2,3,7,12.0,2,1,1,1,1,1,1,1,1,6,인천광역시,경기,2인 가족 여행,2,1
e010900,11,1,20,6,1,4,12,1,3.0,3,5,3,1,5,3,3,4,5,3,서울특별시,경기,2인 여행(가족 외),1,1
e002491,41,1,20,5,1,4,7,5,9.0,3,4,5,5,5,6,6,6,6,6,경기도,경기,2인 여행(가족 외),2,1
e000556,11,1,30,6,1,3,3,6,11.0,3,5,3,2,2,2,2,3,5,6,서울특별시,경기,부모 동반 여행,1,2
e002389,11,2,60,4,2,2,11,3,4.0,3,5,5,4,5,4,2,4,5,3,서울특별시,경기,2인 가족 여행,6,1
e003334,11,1,30,6,1,1,3,5,7.0,3,2,6,2,6,2,2,4,7,4,서울특별시,경기,나홀로 여행,7,0
e007807,41,2,40,6,2,4,13,7,12.0,1,1,3,3,3,3,5,2,2,6,경기도,서울,2인 여행(가족 외),1,1
e005532,11,1,50,7,2,3,11,1,9.0,2,1,4,4,4,4,7,4,1,7,서울특별시,경기,3인 이상 여행(가족 외),1,3
e003175,41,2,30,6,2,4,13,3,7.0,3,4,2,1,2,1,2,2,6,6,경기도,경기,자녀 동반 여행,10,3
e001098,11,2,30,7,1,3,3,4,11.0,2,1,6,2,3,4,5,2,5,4,서울특별시,경기,2인 여행(가족 외),1,1
e000627,41,1,40,7,2,4,3,5,8.0,3,4,6,4,3,2,3,5,2,5,경기도,인천,나홀로 여행,2,0
e007836,43,2,40,6,2,4,3,6,10.0,2,2,2,2,2,4,2,2,6,5,충청북도,경기,자녀 동반 여행,3,2
e012144,44,2,20,6,1,4,12,1,7.0,1,4,5,1,3,5,2,3,1,7,충청남도,서울,2인 가족 여행,3,1
e011483,41,2,20,7,1,3,2,2,3.0,2,3,5,3,1,1,7,5,2,7,경기도,서울,2인 여행(가족 외),1,1
e000346,11,1,60,6,2,3,2,6,6.0,2,1,3,5,4,6,3,5,4,5,서울특별시,인천,3인 이상 여행(가족 외),7,2
e003929,41,2,40,5,2,3,11,1,4.0,2,2,5,5,5,4,5,5,4,6,경기도,경기,나홀로 여행,5,0
e007231,41,2,60,6,2,5,2,5,7.0,3,2,2,3,4,5,5,4,3,5,경기도,서울,2인 여행(가족 외),4,1
e006884,11,1,30,6,2,2,3,6,9.0,2,2,1,1,1,3,1,1,2,5,서울특별시,경기,2인 가족 여행,6,1
e003449,11,2,60,2,3,1,11,2,7.0,2,1,1,5,4,2,2,3,4,4,서울특별시,경기,2인 여행(가족 외),2,1
e001544,11,2,30,6,1,1,4,4,7.0,3,3,4,2,1,1,1,7,1,7,서울특별시,경기,2인 가족 여행,7,1
e010174,41,2,20,6,1,3,3,4,9.0,2,1,2,3,1,4,3,5,3,7,경기도,서울,2인 여행(가족 외),3,1
e006179,41,2,30,6,1,2,3,7,7.0,3,6,4,1,3,2,5,3,7,7,경기도,서울,2인 여행(가족 외),2,1
