TRAVEL_ID,TRAVELER_ID,TRAVEL_LENGTH
e_e000004,e000004,2
e_e000006,e000006,3
e_e000009,e000009,3
e_e000010,e000010,3
e_e000011,e000011,4
e_e000013,e000013,3
e_e000014,e000014,2
e_e000015,e000015,5
e_e000016,e000016,2
e_e000018,e000018,2
e_e000020,e000020,3
e_e000021,e000021,3
e_e000022,e000022,2
e_e000023,e000023,2
e_e000025,e000025,2
e_e000030,e000030,2
e_e000037,e000037,2
e_e000038,e000038,3
e_e000039,e000039,2
e_e000040,e000040,3
e_e000041,e000041,4
e_e000042,e000042,2
e_e000045,e000045,3
e_e000046,e000046,2
e_e000293,e000293,2
e_e000294,e000294,4
e_e000296,e000296,4
e_e000299,e000299,3
e_e000301,e000301,3
e_e000302,e000302,4
e_e000307,e000307,2
e_e000311,e000311,2
e_e000317,e000317,4
e_e000319,e000319,4
e_e000322,e000322,4
e_e000323,e000323,3
e_e000329,e000329,4
e_e000331,e000331,4
e_e000332,e000332,3
e_e000334,e000334,3
e_e000336,e000336,4
e_e000338,e000338,2
e_e000342,e000342,4
e_e000344,e000344,3
e_e000345,e000345,3
e_e000346,e000346,2
e_e000347,e000347,5
e_e000350,e000350,2
e_e000352,e000352,3
e_e000353,e000353,2
e_e000355,e000355,2
e_e000357,e000357,2
e_e000360,e000360,2
e_e000362,e000362,3
e_e000364,e000364,4
e_e000366,e000366,3
e_e000369,e000369,3
e_e000371,e000371,4
e_e000373,e000373,2
e_e000375,e000375,3
e_e000376,e000376,2
e_e000377,e000377,2
e_e000379,e000379,2
e_e000381,e000381,4
e_e000384,e000384,4
e_e000385,e000385,3
e_e000387,e000387,4
e_e000395,e000395,3
e_e000396,e000396,3
e_e000397,e000397,3
e_e000400,e000400,2
e_e000403,e000403,3
e_e000406,e000406,3
e_e000407,e000407,2
e_e000409,e000409,2
e_e000412,e000412,3
e_e000418,e000418,3
e_e000422,e000422,4
e_e000425,e000425,2
e_e000429,e000429,2
e_e000430,e000430,5
e_e000432,e000432,3
e_e000433,e000433,2
e_e000435,e000435,2
e_e000438,e000438,4
e_e000445,e000445,3
e_e000447,e000447,2
e_e000448,e000448,3
e_e000450,e000450,2
e_e000451,e000451,4
e_e000453,e000453,5
e_e000454,e000454,2
e_e000460,e000460,3
e_e000466,e000466,3
e_e000469,e000469,3
e_e000472,e000472,5
e_e000473,e000473,3
e_e000474,e000474,4
e_e000477,e000477,4
e_e000479,e000479,3
e_e000480,e000480,2
e_e000481,e000481,2
e_e000482,e000482,4
e_e000483,e000483,4
e_e000486,e000486,2
e_e000490,e000490,3
e_e000491,e000491,3
e_e000492,e000492,2
e_e000496,e000496,3
e_e000500,e000500,4
e_e000504,e000504,2
e_e000505,e000505,2
e_e000507,e000507,2
e_e000509,e000509,4
e_e000510,e000510,2
e_e000514,e000514,2
e_e000521,e000521,2
e_e000523,e000523,2
e_e000524,e000524,2
e_e000525,e000525,2
e_e000526,e000526,3
e_e000531,e000531,3
e_e000533,e000533,2
e_e000535,e000535,4
e_e000536,e000536,4
e_e000540,e000540,3
e_e000541,e000541,2
e_e000544,e000544,2
e_e000546,e000546,5
e_e000547,e000547,3
e_e000548,e000548,3
e_e000550,e000550,2
e_e000552,e000552,2
e_e000556,e000556,2
e_e000557,e000557,2
e_e000560,e000560,3
e_e000561,e000561,4
e_e000563,e000563,3
e_e000564,e000564,2
e_e000566,e000566,2
e_e000567,e000567,3
e_e000569,e000569,2
e_e000579,e000579,2
e_e000584,e000584,2
e_e000590,e000590,3
e_e000591,e000591,2
e_e000594,e000594,3
e_e000595,e000595,3
e_e000597,e000597,2
e_e000599,e000599,3
e_e000602,e000602,4
e_e000603,e000603,4
e_e000604,e000604,4
e_e000605,e000605,5
e_e000607,e000607,3
e_e000608,e000608,3
e_e000609,e000609,2
e_e000612,e000612,4
e_e000615,e000615,3
e_e000618,e000618,4
e_e000620,e000620,2
e_e000621,e000621,4
e_e000622,e000622,2
e_e000623,e000623,4
e_e000625,e000625,2
e_e000627,e000627,3
e_e000628,e000628,4
e_e000637,e000637,2
e_e000639,e000639,2
e_e000640,e000640,2
e_e000641,e000641,2
e_e000644,e000644,3
e_e000645,e000645,2
e_e000646,e000646,2
e_e000647,e000647,4
e_e000648,e000648,2
e_e000650,e000650,4
e_e000651,e000651,3
e_e000655,e000655,4
e_e000662,e000662,2
e_e000664,e000664,2
e_e000666,e000666,5
e_e000669,e000669,4
e_e000672,e000672,2
e_e000673,e000673,3
e_e000680,e000680,5
e_e000682,e000682,3
e_e000686,e000686,2
e_e000689,e000689,5
e_e000691,e000691,2
e_e000693,e000693,2
e_e000695,e000695,3
e_e000696,e000696,4
e_e000699,e000699,4
e_e000700,e000700,4
e_e000704,e000704,2
e_e000705,e000705,4
e_e000706,e000706,2
e_e000707,e000707,4
e_e000709,e000709,2
e_e000710,e000710,3
e_e000715,e000715,3
e_e000717,e000717,2
e_e000718,e000718,3
e_e000733,e000733,3
e_e000734,e000734,5
e_e000737,e000737,3
e_e000738,e000738,4
e_e000743,e000743,2
e_e000745,e000745,2
e_e000746,e000746,2
e_e000747,e000747,3
e_e000748,e000748,2
e_e000751,e000751,4
e_e000752,e000752,4
e_e000760,e000760,2
e_e000761,e000761,2
e_e000762,e000762,4
e_e000765,e000765,3
e_e000767,e000767,3
e_e000768,e000768,2
e_e000771,e000771,3
e_e000774,e000774,3
e_e000782,e000782,2
e_e000785,e000785,3
e_e000787,e000787,2
e_e000789,e000789,3
e_e000791,e000791,3
e_e000793,e000793,2
e_e000794,e000794,3
e_e000801,e000801,2
e_e000802,e000802,2
e_e000803,e000803,2
e_e000804,e000804,5
e_e000805,e000805,3
e_e000807,e000807,3
e_e000810,e000810,3
e_e000811,e000811,3
e_e000812,e000812,3
e_e000817,e000817,3
e_e000818,e000818,3
e_e000826,e000826,5
e_e000828,e000828,4
e_e000830,e000830,2
e_e000831,e000831,2
e_e000838,e000838,2
e_e000840,e000840,3
e_e000841,e000841,3
e_e000844,e000844,3
e_e000849,e000849,2
e_e000850,e000850,2
e_e000852,e000852,2
e_e000854,e000854,2
e_e000856,e000856,5
e_e000859,e000859,4
e_e000861,e000861,5
e_e000863,e000863,4
e_e000865,e000865,3
e_e000872,e000872,3
e_e000875,e000875,2
e_e000877,e000877,4
e_e000882,e000882,2
e_e000883,e000883,3
e_e000886,e000886,2
e_e000889,e000889,2
e_e000902,e000902,4
e_e000906,e000906,3
e_e000907,e000907,5
e_e000910,e000910,3
e_e000914,e000914,2
e_e000917,e000917,3
e_e000919,e000919,3
e_e000930,e000930,3
e_e000932,e000932,2
e_e000935,e000935,4
e_e000936,e000936,3
e_e000938,e000938,2
e_e000942,e000942,3
e_e000946,e000946,5
e_e000947,e000947,3
e_e000949,e000949,2
e_e000950,e000950,3
e_e000951,e000951,4
e_e000955,e000955,2
e_e000956,e000956,2
e_e000959,e000959,4
e_e000961,e000961,6
e_e000962,e000962,2
e_e000964,e000964,4
e_e000966,e000966,2
e_e000967,e000967,4
e_e000969,e000969,2
e_e000973,e000973,3
e_e000976,e000976,2
e_e000983,e000983,2
e_e000984,e000984,2
e_e000986,e000986,2
e_e000987,e000987,2
e_e000992,e000992,2
e_e000993,e000993,5
e_e000994,e000994,3
e_e000995,e000995,6
e_e000996,e000996,2
e_e000997,e000997,3
e_e000998,e000998,3
e_e000999,e000999,4
e_e001001,e001001,4
e_e001009,e001009,3
e_e001012,e001012,2
e_e001013,e001013,2
e_e001014,e001014,3
e_e001019,e001019,2
e_e001022,e001022,4
e_e001023,e001023,2
e_e001024,e001024,5
e_e001025,e001025,3
e_e001026,e001026,3
e_e001029,e001029,5
e_e001030,e001030,3
e_e001031,e001031,3
e_e001032,e001032,5
e_e001040,e001040,2
e_e001041,e001041,3
e_e001045,e001045,5
e_e001049,e001049,4
e_e001052,e001052,2
e_e001057,e001057,2
e_e001059,e001059,3
e_e001060,e001060,4
e_e001061,e001061,2
e_e001063,e001063,2
e_e001068,e001068,3
e_e001069,e001069,2
e_e001070,e001070,2
e_e001071,e001071,2
e_e001079,e001079,2
e_e001081,e001081,2
e_e001084,e001084,3
e_e001093,e001093,2
e_e001097,e001097,2
e_e001098,e001098,2
e_e001103,e001103,3
e_e001104,e001104,2
e_e001108,e001108,2
