oof_base,oof_aug,IS_FAILED_TRIP
0.5070787972358108,0.51773120723736,1
0.49805696682823225,0.5024804351767599,0
0.5046658909381813,0.6020588228142912,0
0.49805696682823225,0.5015607879379376,1
0.503665329591894,0.5288251672271836,1
0.5485898038034405,0.5435869859649625,1
0.49738945158036385,0.46757959895850554,0
0.4910193961812899,0.4011486864922399,0
0.504802316556035,0.526539656163261,1
0.49805696682823225,0.49933753256878294,0
0.49160979156885765,0.48683287990689755,0
0.5183242049146692,0.5181786594583766,1
0.49088490096218435,0.45516832811536745,0
0.5084364443004113,0.5145755577908174,1
0.4895939730743469,0.43821095674495775,0
0.5058448751238439,0.5354744184203608,1
0.5141662863545249,0.49800173791866587,1
0.5010260917571465,0.5001782431456067,1
0.5010260917571465,0.5024804351767599,0
0.5010260917571465,0.5020873792664186,1
0.5132012350040203,0.5297637823913671,0
0.3969335884859433,0.4381077347964722,0
0.5012224825317708,0.48533640110592,1
0.43631251899911866,0.4520854105352166,0
0.5032358183100961,0.4957889277933283,0
0.5010260917571465,0.5020873792664186,1
0.49805696682823225,0.5001997477454388,1
0.5080067490684893,0.5794766365225053,0
0.5017525227485686,0.484180682801788,0
0.49480045605125733,0.4570034925291375,0
0.4965172624899335,0.47618630104431864,0
0.500054930370369,0.5001782431456067,0
0.5034832840082223,0.533128155351064,0
0.498110185331258,0.5113402356377956,0
0.49481635997536266,0.4686478590729023,0
0.5067358036024234,0.5368062150466082,0
0.4531605780543653,0.4583438799302984,0
0.5160724508127652,0.5145975152428001,0
0.49581600528651726,0.4874380721373836,1
0.5088738992821318,0.563588450842048,1
0.5075013788993025,0.5198422258103321,0
0.49805696682823225,0.4950076003010232,1
0.49805696682823225,0.4950076003010232,0
0.506319812298007,0.5419513913506776,1
0.5114873385910043,0.5206586050779926,0
0.5380260337992241,0.5423031186886118,0
0.49683372093829226,0.4884921425681941,0
0.5010260917571465,0.504519497875027,1
0.5020885510177527,0.5235571304484432,1
0.5071298435282021,0.5417708348011099,0
0.5029548161304139,0.5035517677517147,0
0.5086512523715802,0.5155201226673713,0
0.4984375137464439,0.5194320682894409,0
0.5153896340430137,0.4992830842477529,0
0.49062577218018794,0.40225997569993444,0
0.5154209018119785,0.5072428460007226,0
0.4635833197974586,0.4407921667661388,1
0.4989468029087563,0.5242526904032354,1
0.49805696682823225,0.5015607879379376,0
